case,seed,alg,mode,NP,dimension,peaks,change_frequency,shift_severity,environments,max_evals,realized_FE,budget_exact,environments_completed,changes_seen,reevaluation_FE,offline_error,best_error_before_change,mean_population_diversity,wall_seconds
F8,24,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,51.0288950103331,47.72166666807886,0.13350123201683065,6.724118680998799
F8,25,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,36.59195360505889,26.254559101703247,0.2813912561123903,6.713094602993806
F8,26,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,34.264363472368856,27.70618508204961,0.27678666736055546,6.68076079399907
F8,26,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,22.95964242503834,21.8307070996501,0.15541998946183003,6.897946470999159
F2,31,SGO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,51.353879731067344,49.87302273054768,0.06829491108060197,73.81667279200337
F8,25,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,25.311707121329214,21.57444003935858,0.2708068776475969,8.231920915000956
F8,26,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,41.71370142189843,31.819159904272748,0.27923719404958397,8.295887230997323
F8,25,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,34.754568633092696,33.48353137892695,0.035757060665420684,9.014079020009376
F8,27,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,76.50729536788705,73.65280509712507,0.024946865351700098,6.478765983993071
F8,28,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,41.93597386996851,32.27733478827311,0.27865752436886637,6.646645508008078
F8,28,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,30.08707364190926,25.247517908064495,0.2764818663420163,6.7401322389923735
F8,28,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,55.013156347189366,51.40602088076141,0.11516040093189885,6.469123000992113
F8,27,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,42.12279632659646,31.516214403695475,0.27932639942496923,8.971411506994627
F8,29,SGO,population_persistence,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,46.29318287484748,43.77679660426403,0.029840665455579583,6.58668989900616
F8,29,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,31.294922163414824,21.760532169144327,0.2787925181212554,7.494681506999768
F8,27,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,32.00696309720472,26.384109359711466,0.27625734485152204,9.393177780002588
F8,29,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,23.701729393598093,18.801198572959052,0.2746937333135833,7.460754510000697
F8,30,SGO,cold_restart,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,36.753967781465576,28.29596973781088,0.2805462898508674,6.931350983999437
F8,30,SGO,previous_best_seeded,20,5,10,500,1.0,100,50000,50000,True,100,99,1980,32.36137449225047,24.590300485553435,0.2796096853496348,6.817276052999659
F2,30,SGO,previous_best_seeded,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,14.828278292538895,12.856085142460342,0.2783397844371806,91.61104346999491
