case,seed,GWO,PSO,SGO,WOA
F11,24,18.27881336458148,82.1065105347369,68.55421221260252,42.67887527441492
F11,25,23.66134371759958,20.04578205440697,31.554329111635536,21.17452783192112
F11,26,16.967884571050305,34.00845885317934,36.49016662367865,27.21740205097221
F11,27,17.377799936968774,25.779974683005413,53.17922615882747,33.997642181761755
F11,28,38.62806282469606,31.977140381150736,58.295027452436926,23.231681425472622
F11,29,24.698510169398546,11.531231197595844,39.60805969654654,20.01701740794994
F11,30,25.73066445161321,7.959657820869562,51.567876187432304,39.26437336538109
F11,31,17.088071351263043,21.46459471613929,55.8852905342837,37.19563447977614
F12,1,50.50692575014708,11.48389723707709,52.18354354872675,35.18554945163988
F12,2,38.19364301907317,28.56973807756592,53.13727087558999,38.0162894493705
F12,3,22.576191804526413,16.0218686151663,46.54091255080442,35.04357394563785
F12,4,41.14471159330847,17.84134882075169,48.3264205907012,29.692680541092752
F12,5,32.17406419338309,47.76722050414281,55.12540318644548,33.65507477437781
F12,6,17.513546285331827,32.587734667279,61.73746891183823,36.67679589515616
F12,7,43.982257383332296,10.22508320683141,44.27792787200149,30.219379172003627
F12,8,32.216369343326576,135.0256758762166,41.86614161946187,25.13316881455471
F12,9,53.73363235528861,73.59535385653379,59.23513511862832,44.03946984102041
F12,10,28.080901874645186,18.724807846215587,47.71746103384292,36.10144758109193
F12,11,36.20917188885085,18.827958899906758,58.53801741738759,38.9235620076166
F12,12,43.12223055510297,88.63178610573107,49.198790914613696,33.32550241755016
F12,13,51.41978231539352,40.9006769188237,65.24668748865808,38.71166319109884
F12,14,37.61902634503959,41.50592777379546,38.53532343290589,30.272649104373624
F12,15,23.52571321271165,31.29027324738122,49.72491744230408,39.95774290863157
F12,16,39.9948336543653,18.146246303977943,50.15647706719781,23.461377300409147
F12,17,41.54258908793451,43.68848891381543,65.25334321629173,50.77075724295096
F12,18,14.284757248499004,20.25033716605295,63.08396620424623,41.50258806689124
F12,19,42.162218215914585,61.60498877573283,35.933631281438345,29.722408676036665
F12,20,27.65024201966979,84.9238294939859,59.63251618397209,33.04567396402131
F12,21,28.16657857182829,72.49823010055303,44.68572565874244,42.22505322777858
F12,22,20.79186701052477,25.752100906971823,52.40350738268354,48.18070571966804
F12,23,26.813521521480737,15.342204945041871,37.8685507623661,28.420037202686824
F12,24,34.78697013187846,102.25414576568404,74.29619029350218,33.89993358782828
F12,25,35.58613343946874,50.98578186950627,45.62387524830332,32.358130052605695
F12,26,24.956744796926102,105.31713927296668,64.75876249904854,29.02724956279013
F12,27,35.893769759221406,76.88218923300923,68.31739781851351,40.42888052802176
F12,28,38.83920488092486,58.82432339254314,50.140179882606,37.361776132563705
F12,29,38.45954906889562,96.79662119194704,39.99235876565473,24.01059145319537
F12,30,44.87482184615511,52.29491578789499,57.45033578687781,30.177674498938607
F12,31,26.26269234859617,50.5929300078727,53.755898694095,34.73311218165298
