case,seed,alg,mode,NP,dimension,peaks,change_frequency,shift_severity,environments,max_evals,realized_FE,budget_exact,environments_completed,changes_seen,reevaluation_FE,offline_error,best_error_before_change,mean_population_diversity,wall_seconds
F1,14,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,28.023069422099642,26.136880927924814,0.00026481250262324035,54.90496126699145
F1,15,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,13.606887083722029,10.620371024330197,0.0004003504677814204,55.49566710299405
F1,12,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,26.86174148395881,25.843424316337483,0.00015597542222510762,57.27517084000283
F1,16,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,12.661773212886482,12.307304638821861,0.001192109626351226,15.101982598993345
F1,12,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,41.87893506745017,40.54063001638674,0.0004963775693965661,107.10829170299985
F1,16,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,47.81977392390476,46.31728597568807,0.00010305234111474336,55.4241971020092
F1,10,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,29.671561404292248,28.447218472946805,0.0006463233305004511,119.74904010099999
F1,13,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,32.659232375590015,31.561603201452797,0.1727043098134416,121.64190605199838
F1,17,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,12.739016709435083,12.403877540118678,0.003949196578198731,14.732392126999912
F1,13,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,28.75739542631709,27.870504824039287,0.0007023047273850658,127.03250418399693
F1,10,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,48.74752173826028,47.1806676916568,0.10286957025485054,127.47885282000061
F1,9,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,21.353066269722028,20.987549162921756,0.0005346964206987285,129.0846887249936
F1,14,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,19.602039717088513,19.023561339387673,0.0007720376746780081,132.26810287500848
F1,15,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,56.642817590172605,55.37405621697976,0.1130538516468937,132.97781368500728
F1,12,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,53.5838833275346,52.02257872634884,0.044990734189496784,133.4695509130106
F1,9,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,73.4604782092682,71.64155157529804,0.04213941638254645,139.61168764899776
F1,18,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,15.237124723593203,14.66537041722999,0.0015169613026612815,14.500811193996924
F1,15,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,10.355660408398823,9.731089154721941,0.0008179152748684892,117.30530722200638
F1,19,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,114.8080180041965,114.10728072392257,0.0033408021870503174,12.817012033992796
F1,14,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,41.91676735579284,40.1394051188745,0.18005541831573962,151.6628265850013
F1,20,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,13.861939706835896,13.480465577534703,0.0010880199754615591,13.184117327007698
F1,11,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,16.332362809435008,15.842340178055291,0.0008525427900900524,156.98134979000315
F1,11,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,34.63850025590667,33.25505120123136,0.09856994139187639,157.22518549299275
F1,17,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,43.61950952887426,41.701139421124836,0.0002478517599348324,50.10508698799822
F1,16,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,25.96044819400717,24.833454259546425,0.0005138864123019468,117.07048897398636
F1,21,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,12.147216401198726,11.60940671359137,0.0004854619754197614,17.645523416998913
F1,18,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,48.82068497923792,47.48041504336217,0.00011787727125214394,53.1503500980034
F1,16,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,33.34066349171208,32.27710944072205,0.13332245033049447,130.93142356899625
F1,17,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,93.81034456746482,91.78921271867661,0.06785493835439686,115.1815825090016
F1,19,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,7.958303000026447,6.74896449716675,0.0003109645807091686,53.984506271997816
F1,22,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,9.99348396830329,9.540454726828466,0.0009079212336382397,17.5355844089936
F1,20,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,21.95975185402988,20.327487968428972,0.00040166682074196426,57.001531557005364
F1,23,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,8.394794663764905,7.818298300525514,0.0009579885314639783,13.028994655003771
F1,21,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,8.072916787120572,6.753625148022911,0.00030170708799380237,56.11738675700326
F1,24,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,72.75808212375404,66.98828261091792,0.0033612091404512526,10.059797677997267
F1,17,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,21.78625929352076,21.281459414323773,0.0007541209057559825,105.23256702700746
F1,22,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,13.877640936739356,12.34451628441277,0.0005469285785520447,57.00533230000292
F1,23,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,12.312560453168986,10.900983829551173,0.0002169554368746888,53.94834837199596
F1,19,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,36.32693947777021,35.00972253677375,0.00047292952711705977,115.09284745900368
F1,25,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,92.13612639485147,83.44978234332233,0.0014214784486354423,12.638291741997818
F1,18,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,56.9815283100049,55.94858537241863,0.00025983725304604664,135.36397925201163
F1,20,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,23.747285935920836,23.130712359337135,0.0005876128315035594,121.39596415999404
F1,24,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,31.84532361717256,29.77347712118701,0.0003066904385142301,71.18949497799622
F1,20,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,50.23411369478513,47.87847377082222,0.15141138978423221,131.66953923999972
F1,26,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,11.303129796507495,10.791256407901674,0.001752606677801281,10.347317687002942
F1,19,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,31.159025474427665,30.451775743661397,0.09281490946852552,149.60665474798589
F1,22,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,30.39288609222079,29.499540622534536,0.000680866951651819,102.42682430100103
F1,21,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,26.69890818079923,25.67416269843112,0.17421985181057947,132.21330867799406
F1,21,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,26.908930648237938,25.67069205890308,0.0005366509222069326,130.72685922800156
F1,25,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,23.40633640526653,20.97082582290086,0.00033370064579366185,56.546647886003484
F1,27,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,20.31485335977906,19.90364928165271,0.004996892244628544,13.036052702009329
F1,22,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,22.625368496223746,21.644217084534375,0.1348826823143809,137.1382891349931
F1,18,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,35.85972888861828,34.7134596318409,0.08338550369714105,176.552580492993
F1,28,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,7.8617894983427465,7.100168214734957,0.002116723279860645,16.723950646992307
F1,26,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,12.453963576233797,10.932460815606769,0.0004040925814985056,48.07545059399854
F1,29,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,9.152739033283947,8.626702504912252,0.0013450332767084947,17.696941292990232
F1,24,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,16.235380289346768,15.65645298817341,0.0008408098092794971,103.34592112299288
F1,23,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,38.12664926653196,35.95462066567075,0.05288540901753148,147.49655066800187
F1,27,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,19.020351164376553,17.72134208972073,0.00037466293397798143,53.01683330799278
F1,24,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,31.36884943881534,30.00610271649932,0.20681522067540592,135.83648990601068
F1,28,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,17.41689814111211,15.80388620405113,0.0003697173442943885,52.17529604501033
F1,30,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,11.918043382129367,11.533762078241296,0.0029391548343760863,10.106835017999401
F1,23,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,25.195008785199715,24.08286726570446,0.0004114928343435066,156.49575141599053
F1,31,PSO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,3.649231198374778,3.1801070819126847,0.0018588131985316694,9.307825361000141
F1,25,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,20.08088101666581,19.45920700714994,0.0007143316215468873,108.26160850000451
F1,29,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,16.297996566283352,15.358467214290108,0.00011201494620080701,60.51068790499994
F1,25,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,41.238064889901224,40.20082103480329,0.06120237619886438,136.15554775600322
F1,30,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,12.343559684124177,10.842281365470441,0.0003155800020281743,38.56198900000891
F1,26,SGO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,23.86018694716898,22.662302765169702,0.17527554007850302,115.45834588000434
F2,1,PSO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,9.776544005288281,9.406779024621448,0.0010823940510842208,10.509721488997457
F1,31,GWO,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,4.7497578098497275,3.3085571870849724,0.00030809310858132607,35.72385407600086
F2,2,PSO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,16.39602189183353,16.058256803845467,0.0017502636217520168,8.988325889004045
F1,27,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,64.2870055000183,63.08480158845099,0.0005063662886843723,98.98565568799677
F1,28,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,19.28920886602635,18.65535341674481,0.0007213782953795115,88.11179164200439
F2,1,GWO,population_persistence,20,5,10,5000,1.0,100,500000,500000,True,100,99,1980,56.5750744466611,55.337285540038,4.996094525235379e-05,28.281282354990253
F1,26,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,21.978835211199673,21.273015028128153,0.000833182163153094,115.85760986800597
F1,29,WOA,population_persistence,20,5,5,5000,1.0,100,500000,500000,True,100,99,1980,22.099678434606997,21.14866345007447,0.0006138404587371784,76.72819403500762
