case,seed,alg,mode,environment,post_change_error,end_of_environment_error,mean_error,error_reduction,error_reduction_fraction,recovery_evals_50,recovery_success_50,recovery_evals_90,recovery_success_90
F2,5,SGO,population_persistence,42,49.1321058404304,36.318538134492115,36.41748098399532,12.813567705938283,0.260798259849756,14,True,175,True
F2,5,SGO,population_persistence,43,53.86564087151702,25.53241097069511,26.700794479239715,28.333229900821912,0.52599819555482,17,True,260,True
F2,5,SGO,population_persistence,44,78.22735706066938,31.72749969555771,31.81044754761263,46.499857365111666,0.5944193836057712,8,True,14,True
F2,5,SGO,population_persistence,45,48.312883369271155,38.38698053797779,38.51002197181117,9.925902831293364,0.20545043348844333,10,True,51,True
F2,5,SGO,population_persistence,46,66.01640493417096,41.981161809264236,48.005472701347756,24.035243124906728,0.36407985483114014,243,True,4363,True
F2,5,SGO,population_persistence,47,86.62447727947487,49.038457738538156,49.19017986265887,37.58601954093672,0.43389606172945405,4,True,5,True
F2,5,SGO,population_persistence,48,79.8035643270834,49.302359109634956,50.14042345804871,30.501205217448437,0.38220354535088186,54,True,330,True
F2,5,SGO,population_persistence,49,71.42092731455884,54.121443942720624,54.512221634300516,17.299483371838214,0.24221868886756656,106,True,106,True
F2,5,SGO,population_persistence,50,153.93975454219168,59.06660108313544,60.00172113819427,94.87315345905624,0.6163005374485867,2,True,13,True
F2,5,SGO,population_persistence,51,72.62970406092776,50.79237066159038,50.93269367918847,21.837333399337382,0.30066669941293483,45,True,45,True
F2,5,SGO,population_persistence,52,153.11225381908432,76.17483439710665,76.3445043158803,76.93741942197767,0.5024902808424859,9,True,9,True
F2,5,SGO,population_persistence,53,106.81431633904411,46.481573104711586,53.687179071369975,60.332743234332526,0.5648376107452456,615,True,904,True
F2,5,SGO,population_persistence,54,69.89558394310154,46.83576730112277,46.948527092709156,23.05981664197877,0.329918076952481,8,True,8,True
F2,5,SGO,population_persistence,55,81.7525334553134,54.29255711782417,56.73101238223359,27.45997633748923,0.33589144185359193,3,True,2252,True
F2,5,SGO,population_persistence,56,89.94792379260082,51.118368812036096,51.48442563350594,38.82955498056472,0.43168928579270743,3,True,8,True
F2,5,SGO,population_persistence,57,104.39491330692346,31.768810226601282,34.808799767318426,72.62610308032217,0.6956862243546268,5,True,85,True
F2,5,SGO,population_persistence,58,100.14622057896742,31.668912672636097,32.03931357170197,68.47730790633132,0.6837732618410248,8,True,88,True
F2,5,SGO,population_persistence,59,128.97110381894004,33.28702685062432,33.70181709306737,95.68407696831571,0.7419032181243069,2,True,7,True
F2,5,SGO,population_persistence,60,101.8197105292774,24.349246049024924,24.584286080988253,77.47046448025247,0.7608592096515192,2,True,18,True
F2,5,SGO,population_persistence,61,35.20382273141201,12.902879946688913,13.428903521764424,22.300942784723098,0.6334807147186375,2,True,170,True
F2,5,SGO,population_persistence,62,15.30846306444365,11.80467922173041,12.121464965364762,3.50378384271324,0.2288788775178442,672,True,672,True
F2,5,SGO,population_persistence,63,44.614271500636654,10.78541931925519,11.154415159543316,33.828852181381464,0.7582518114388289,3,True,87,True
F2,5,SGO,population_persistence,64,39.55895586013736,9.717726779292839,9.745583643109779,29.84122908084452,0.754348248885781,5,True,10,True
F2,5,SGO,population_persistence,65,86.32800364934387,5.330583284613255,6.036945861781945,80.99742036473062,0.9382519801307397,5,True,20,True
F2,5,SGO,population_persistence,66,38.76035371777439,26.689739703837517,27.001314331146492,12.070614013936876,0.3114165082658066,92,True,237,True
F2,5,SGO,population_persistence,67,21.228273358504765,9.543060225650116,9.778653548705666,11.68521313285465,0.5504551847205772,7,True,185,True
F2,5,SGO,population_persistence,68,46.12541753184692,23.20749324603375,23.651126726370403,22.91792428581317,0.49686106949578673,23,True,460,True
F2,5,SGO,population_persistence,69,31.06893241891563,16.925014038472867,17.484280344194115,14.143918380442763,0.4552431409529718,17,True,111,True
F2,5,SGO,population_persistence,70,44.82144701583442,20.554263743264954,21.710974488177918,24.26718327256947,0.5414190055933806,82,True,816,True
F2,5,SGO,population_persistence,71,163.83395416022188,38.48957718373461,38.586790728907246,125.34437697648727,0.7650695951213287,2,True,6,True
