case,alg,mode,seed,end_error,post_change_error,recovery_frac_50,recovery_frac_90,late_half_fraction,mean_population_diversity
F10,PSO,previous_best_seeded,28,71.41826115125468,133.42007267328293,0.3667131313131313,0.7217656565656566,0.35363798191249785,0.1282168636586248
F10,PSO,previous_best_seeded,29,96.10664588265072,212.02376706865152,0.1528080808080808,0.5970808080808081,0.19319396787131712,0.11979632125291059
F10,PSO,previous_best_seeded,30,80.821062916342,164.4623360964168,0.2794161616161616,0.6839212121212122,0.31580502550153816,0.12192297660224503
F10,PSO,previous_best_seeded,31,66.82110667220701,113.51352393492299,0.39322222222222225,0.7375212121212121,0.40728748996104,0.12137792549664364
F10,SGO,cold_restart,1,151.92333359365375,378.6730005719648,0.010723232323232322,0.13184242424242423,0.0055327182907433554,0.10053337484682946
F10,SGO,cold_restart,2,159.59058645735715,400.95145843523596,0.008238383838383838,0.12955555555555556,0.007020666773833664,0.10059172712897148
F10,SGO,cold_restart,3,155.36455739815116,389.26648727965926,0.007119191919191919,0.10735151515151516,0.007191138748325046,0.10195578377314782
F10,SGO,cold_restart,4,174.22627956528905,413.35298849852484,0.010694949494949495,0.13337575757575756,0.012181512814624472,0.10832667869455442
F10,SGO,cold_restart,5,158.35417892227196,397.497270167968,0.00783030303030303,0.12805858585858584,0.010397009153552263,0.10196485895120168
F10,SGO,cold_restart,6,170.23740876274803,402.92607840104057,0.007313131313131313,0.13735959595959596,0.012324486770535305,0.10730247158754919
F10,SGO,cold_restart,7,163.86233011929653,388.7328787602846,0.010133333333333334,0.12604444444444446,0.008697641866910215,0.10404170375506876
F10,SGO,cold_restart,8,160.11734211654877,389.43397453238765,0.007345454545454545,0.1262909090909091,0.010764132143375855,0.11191991751015569
F10,SGO,cold_restart,9,161.4353275935067,395.8387557739426,0.008757575757575757,0.12281818181818183,0.007294583866395688,0.10535083425162707
F10,SGO,cold_restart,10,148.9440843792946,372.46623354795156,0.008004040404040404,0.11768080808080808,0.007071785982170362,0.09775759481767121
F10,SGO,cold_restart,11,165.25945225707252,392.002459305476,0.009305050505050505,0.1368929292929293,0.013198298766566304,0.10985004427135053
F10,SGO,cold_restart,12,160.77952277864838,392.8932140317691,0.008426262626262627,0.13586666666666666,0.009125347743945227,0.1026270018724748
F10,SGO,cold_restart,13,155.34926442572316,393.8779276923617,0.008090909090909091,0.12305252525252525,0.008123617403258407,0.10241438786725672
F10,SGO,cold_restart,14,154.18719017116163,383.1898752108596,0.008832323232323231,0.13645050505050504,0.009682416018025126,0.09882200611075595
F10,SGO,cold_restart,15,158.08826989311,391.1606521305856,0.008648484848484848,0.12911313131313132,0.01049334659196192,0.1028149898552482
F10,SGO,cold_restart,16,149.07718625762908,392.8090981035317,0.008084848484848485,0.128779797979798,0.0061819346538531566,0.09914356647119092
F10,SGO,cold_restart,17,153.36588996379595,408.74548454986274,0.006709090909090909,0.10983232323232324,0.006083014379362262,0.09557904651555238
