case,alg,effect,mode_A,mode_B,n,median_A,median_B,median_diff,diff_ci_lo,diff_ci_hi,median_log_ratio,log_ratio_ci_lo,log_ratio_ci_hi,percent_change,wilcoxon_stat,p_raw,cliffs_delta,A_better,p_holm,significant_holm
F10,GWO,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,180.27612176126758,49.39637167481929,126.57143189748957,109.46252609503469,138.14475465368298,1.1801740200396469,1.1256824519247945,1.3344882746269477,225.4940578496407,2.0,2.7939677238464355e-09,0.9334027055150884,False,5.587935447692871e-09,True
F10,PSO,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,93.39062815511211,138.15186310357697,-45.97256486921138,-54.00949604094831,-39.39859484407445,-0.4002924256505294,-0.48840317022721325,-0.3359564164393307,-32.98759440822201,0.0,9.313225746154785e-10,-1.0,True,2.7939677238464355e-09,True
F10,PSO,E2_persist_minus_cold,population_persistence,cold_restart,31,287.1795399896644,138.15186310357697,150.29111172554792,96.12156611936518,201.1662207903935,0.7409413932482142,0.5288629869299714,0.9000969600733121,109.79095430591977,30.0,1.8952414393424988e-06,0.6149843912591051,False,1.8952414393424988e-06,True
F10,PSO,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,287.1795399896644,93.39062815511211,192.64265645898018,155.85794984913088,240.76857930021941,1.0716682218681606,0.9207547967612146,1.2364400764433041,192.02470587680017,9.0,3.073364496231079e-08,0.8106139438085328,False,6.146728992462158e-08,True
F10,WOA,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,169.62892637024487,179.43016452339464,-7.675352508316422,-12.740208554644738,-4.71015879253838,-0.044608649631551804,-0.07365328374357068,-0.026719440955773825,-4.362831498264807,8.0,2.3283064365386963e-08,-0.5962539021852237,True,2.3283064365386963e-08,True
F10,WOA,E2_persist_minus_cold,population_persistence,cold_restart,31,191.2578216443715,179.43016452339464,12.874239862674983,9.352248946150326,16.065094753838792,0.06585491367948319,0.05160951613846689,0.08678138297922607,6.807174332468602,3.0,4.6566128730773926e-09,0.6462018730489074,False,9.313225746154785e-09,True
F10,WOA,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,191.2578216443715,169.62892637024487,20.42967138418561,17.679563036972695,28.34311369904924,0.11533171482081056,0.10076387056458272,0.15095987536785335,12.224564134759607,0.0,9.313225746154785e-10,0.858480749219563,False,2.7939677238464355e-09,True
F12,SGO,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,23.3896219648289,25.428480329851784,-1.876886642045445,-3.1636931989378922,-1.276092702089823,-0.0771873300867082,-0.12366568018852779,-0.051662303139350246,-7.428357717515411,19.0,2.859160304069519e-07,-0.5941727367325702,True,2.859160304069519e-07,True
F12,SGO,E2_persist_minus_cold,population_persistence,cold_restart,31,52.18354354872675,25.428480329851784,26.48513914035059,23.154357905942327,32.265605131235816,0.7083382828006032,0.6706363457567333,0.7788663410428928,103.06141470681345,0.0,9.313225746154785e-10,1.0,False,2.7939677238464355e-09,True
F12,SGO,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,52.18354354872675,23.3896219648289,28.25270891033846,25.56435118427758,35.4115873682815,0.7746560812819258,0.7438018590348104,0.910840371647112,116.98457482757946,0.0,9.313225746154785e-10,1.0,False,2.7939677238464355e-09,True
F12,GWO,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,13.65347460034978,14.81711496325875,-0.8060536764019641,-1.273115656001572,-0.5000543548550489,-0.05936352701927483,-0.09281145735326045,-0.03842815853660286,-5.763586794204711,45.0,1.5350058674812317e-05,-0.4255983350676379,True,1.5350058674812317e-05,True
F12,GWO,E2_persist_minus_cold,population_persistence,cold_restart,31,35.893769759221406,14.81711496325875,20.441165028075567,13.949837440173535,24.380754828161578,0.884383290577049,0.6736574816997241,0.9646801921798851,142.14905748523998,1.0,1.862645149230957e-09,0.9562955254942768,False,3.725290298461914e-09,True
F12,GWO,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,35.893769759221406,13.65347460034978,22.714544733610044,15.014515267337421,26.070735473894615,0.9805123193580567,0.7615574664628257,1.0574916495331457,166.58216441719878,0.0,9.313225746154785e-10,0.9771071800208116,False,2.7939677238464355e-09,True
F12,PSO,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,14.066291998467152,15.23227797820415,-0.9917066910212888,-1.221406039190441,-0.6895097035065074,-0.06891655829685664,-0.08143101815031435,-0.049113707956162454,-6.659543830478098,16.0,1.5739351511001587e-07,-0.5400624349635796,True,1.5739351511001587e-07,True
F12,PSO,E2_persist_minus_cold,population_persistence,cold_restart,31,43.688488913815426,15.23227797820415,27.244130873015354,13.209701701482034,43.59204541433899,0.9771022136810283,0.620578952505728,1.3511387050060792,165.67463932261742,10.0,4.0046870708465576e-08,0.8231009365244537,False,8.009374141693115e-08,True
F12,PSO,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,43.688488913815426,14.066291998467152,28.975268094919304,13.81806209759289,46.45481959500016,1.0883381907954035,0.6609913463652834,1.5593213602838962,196.93355011505366,6.0,1.30385160446167e-08,0.8709677419354839,False,3.91155481338501e-08,True
F12,WOA,E1_prevbest_minus_cold,previous_best_seeded,cold_restart,31,24.14819156870988,26.554283005911916,-2.4696046331475294,-3.0844252381182997,-1.9111960710253513,-0.10237950197776924,-0.11147854008178135,-0.07411526709148807,-9.731308481224222,9.0,3.073364496231079e-08,-0.631633714880333,True,3.073364496231079e-08,True
F12,WOA,E2_persist_minus_cold,population_persistence,cold_restart,31,34.73311218165298,26.554283005911916,7.716743488803125,5.445283059198179,9.628190080035498,0.2619935159255263,0.1936548571820014,0.30391347475359237,29.951811622981815,6.0,1.30385160446167e-08,0.768990634755463,False,2.60770320892334e-08,True
F12,WOA,E3_persist_minus_prevbest,population_persistence,previous_best_seeded,31,34.73311218165298,24.14819156870988,10.788806051554179,8.747381930799534,13.946887323931374,0.3913019349012049,0.315163267509031,0.481733146620598,47.89049790367152,1.0,1.862645149230957e-09,0.9042663891779397,False,5.587935447692871e-09,True
