part,mode,system,alg,trial,step,P,Nc,Q_scale,J_star,J_alg,signed_gap,abs_gap,norm_gap,below_ref,control_error,time_ms,nfe,iters,mean_metric_rmse,nrmse,Nsim
single_step,tuned,flight,WOA,0,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171563761235972,1.1315656514576666e-07,1.1315656514576666e-07,1.1315656514576666e-07,False,0.001194022657077232,4.8652099940227345,630.0,21.0,,,
single_step,tuned,flight,WOA,1,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171586339870805,9.057793031244654e-08,9.057793031244654e-08,9.057793031244654e-08,False,0.0009615352015964815,4.850555007578805,630.0,21.0,,,
single_step,tuned,flight,WOA,2,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171450370902398,2.2654689871975942e-07,2.2654689871975942e-07,2.2654689871975942e-07,False,0.0014064512850478401,4.818418994545937,630.0,21.0,,,
single_step,tuned,flight,WOA,3,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171406377295467,2.705405056507848e-07,2.705405056507848e-07,2.705405056507848e-07,False,0.002549843968213346,4.782243995578028,630.0,21.0,,,
single_step,tuned,flight,WOA,4,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171674387963754,2.5298373639015548e-09,2.5298373639015548e-09,2.5298373639015548e-09,False,0.00030764817578443713,4.80648000666406,630.0,21.0,,,
single_step,tuned,flight,WOA,5,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171432647138632,2.442706624854185e-07,2.442706624854185e-07,2.442706624854185e-07,False,0.0018524451000785514,4.865146998781711,630.0,21.0,,,
single_step,tuned,flight,WOA,6,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.02617166216315428,1.4754646837644714e-08,1.4754646837644714e-08,1.4754646837644714e-08,False,0.0004438810306382093,4.8157949931919575,630.0,21.0,,,
single_step,tuned,flight,WOA,7,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171676631613662,2.8618745567809967e-10,2.8618745567809967e-10,2.8618745567809967e-10,False,6.879592308319191e-05,4.822657007025555,630.0,21.0,,,
single_step,tuned,flight,WOA,8,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026170190996900967,1.4859209001502616e-06,1.4859209001502616e-06,1.4859209001502616e-06,False,0.00456640451383652,4.827356009627692,630.0,21.0,,,
single_step,tuned,flight,WOA,9,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026164642856898557,7.034060902560285e-06,7.034060902560285e-06,7.034060902560285e-06,False,0.009578387388717172,4.855193008552305,630.0,21.0,,,
single_step,tuned,flight,WOA,10,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171664634511795,1.2283289323178348e-08,1.2283289323178348e-08,1.2283289323178348e-08,False,0.00047312642621292155,4.83671500114724,630.0,21.0,,,
single_step,tuned,flight,WOA,11,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171668016390273,8.901410844530666e-09,8.901410844530666e-09,8.901410844530666e-09,False,0.0003751453300112536,4.8334509920096025,630.0,21.0,,,
single_step,tuned,flight,WOA,12,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171676095764613,8.220365048383638e-10,8.220365048383638e-10,8.220365048383638e-10,False,0.00010647272458511793,4.84409301134292,630.0,21.0,,,
single_step,tuned,flight,WOA,13,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.0261355185417275,3.6158376073618104e-05,3.6158376073618104e-05,3.6158376073618104e-05,False,0.021817033784111164,4.814466010429896,630.0,21.0,,,
single_step,tuned,flight,WOA,14,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171676577189096,3.40612021226816e-10,3.40612021226816e-10,3.40612021226816e-10,False,7.951338623654517e-05,4.753664994495921,630.0,21.0,,,
single_step,tuned,flight,WOA,15,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026170099345080217,1.5775727209010881e-06,1.5775727209010881e-06,1.5775727209010881e-06,False,0.004458348622452489,4.712637994089164,630.0,21.0,,,
single_step,tuned,flight,WOA,16,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171660573259613,1.6344541504953458e-08,1.6344541504953458e-08,1.6344541504953458e-08,False,0.0005559092962011082,4.917231999570504,630.0,21.0,,,
single_step,tuned,flight,WOA,17,37.0,20.0,1.0,1.0,-0.026171676917801118,-0.026171673977423864,2.9403772541791717e-09,2.9403772541791717e-09,2.9403772541791717e-09,False,0.0002444243960774126,4.739833006169647,630.0,21.0,,,
