system,ic,alg,n,nrmse_mean,nrmse_median,nrmse_std,reference_nrmse,fe_exact,rank
flight,IC1_submitted,WOA,5,0.018192761180650677,0.018194944895367327,5.110787782252107e-06,0.018195653502689445,True,4
flight,IC2_larger_alpha,GWO,5,0.06479681873139091,0.06479702703338398,4.833870313531241e-07,0.06479822579713684,True,4
flight,IC2_larger_alpha,PSO,5,0.06479168223183265,0.06479138600558318,4.543882957498844e-06,0.06479822579713684,True,3
flight,IC2_larger_alpha,SGO,5,0.06443745593202876,0.06478950280751612,0.0031733948286199565,0.06479822579713684,True,1
flight,IC2_larger_alpha,WOA,5,0.06478111924800183,0.0647903621430527,2.5938498499669943e-05,0.06479822579713684,True,2
flight,IC3_pitch_rate,GWO,5,0.11615177861533951,0.11615177146461533,1.0762345613259392e-06,0.11615212412629604,True,2
flight,IC3_pitch_rate,PSO,5,0.1161522023017643,0.1161522468345101,6.13711240168612e-07,0.11615212412629604,True,3
flight,IC3_pitch_rate,SGO,5,0.11920917574387824,0.11876833789781194,0.003988559431128817,0.11615212412629604,True,4
flight,IC3_pitch_rate,WOA,5,0.11594611388935742,0.1160863771975778,0.0002807116221555067,0.11615212412629604,True,1
flight,IC4_theta_offset,GWO,5,2.3240779348296186,2.324077524088288,1.5205082790298104e-06,2.3240773760956475,True,1
flight,IC4_theta_offset,PSO,5,2.3240806367369924,2.3240800819708163,3.7759994597586613e-06,2.3240773760956475,True,2
flight,IC4_theta_offset,SGO,5,2.339415956431028,2.344458794520984,0.01351993236147399,2.3240773760956475,True,4
flight,IC4_theta_offset,WOA,5,2.325746377315075,2.325767446769057,0.0020212690924033476,2.3240773760956475,True,3
flight,IC5_small,GWO,5,0.007460604886438344,0.007458609305711449,9.838917463554047e-06,0.007461288484941245,True,3
flight,IC5_small,PSO,5,0.007466460272890459,0.007464069357056962,6.195001027770346e-06,0.007461288484941245,True,4
flight,IC5_small,SGO,5,0.00741513678431342,0.007444105904892714,5.297889947138426e-05,0.007461288484941245,True,1
flight,IC5_small,WOA,5,0.0074271702483126355,0.007456513255610865,7.382459800604233e-05,0.007461288484941245,True,2
hvac,IC1_submitted,GWO,5,0.020759219467259074,0.02075947695031241,1.531608509204708e-06,0.020766893738445827,True,3
hvac,IC1_submitted,PSO,5,0.02075881978828232,0.02075924083115626,4.331225615838913e-06,0.020766893738445827,True,2
hvac,IC1_submitted,SGO,5,0.020752445812681448,0.020752134455294762,1.895288198052893e-06,0.020766893738445827,True,1
hvac,IC1_submitted,WOA,5,0.02076688839652025,0.020766895116550662,3.7367996378086457e-08,0.020766893738445827,True,4
hvac,IC2_cold_building,GWO,5,0.10260873936048268,0.10260866487906878,2.538117636870659e-07,0.10261083524760088,True,3
hvac,IC2_cold_building,PSO,5,0.10260852343400198,0.10260912139878968,1.7219283183165517e-06,0.10261083524760088,True,2
hvac,IC2_cold_building,SGO,5,0.10260765195626902,0.10260772173663867,4.875266242777507e-07,0.10261083524760088,True,1
hvac,IC2_cold_building,WOA,5,0.1026108323699714,0.10261083343986792,3.964936173941533e-09,0.10261083524760088,True,4
hvac,IC3_warm_building,GWO,5,0.020746919799732012,0.0207464114074561,1.4695863336602496e-06,0.020754824114289337,True,3
hvac,IC3_warm_building,PSO,5,0.020745824249236666,0.02074942502578926,6.7060113829633855e-06,0.020754824114289337,True,2
hvac,IC3_warm_building,SGO,5,0.02074097015473867,0.020740785020979605,1.585530609302613e-06,0.020754824114289337,True,1
hvac,IC3_warm_building,WOA,5,0.020754839811413826,0.020754843862813715,3.36834719837094e-08,0.020754824114289337,True,4
hvac,IC4_warm_rooms_cold_walls,GWO,5,0.009060641405587678,0.009060663322119057,2.657356289559936e-06,0.009069017298942727,True,3
