system,alg,regime,seed,trial,ic,NP,fe_budget,maxIter_derived,realized_nfe_total,realized_nfe_per_step_mean,realized_nfe_per_step_min,realized_nfe_per_step_max,nfe_exactly_on_budget,nrmse,deterministic_reference_nrmse,nrmse_minus_reference,mean_first_input_error_vs_reference,time_ms_mean,time_ms_median,time_ms_p95,time_ms_max,dt_s,p95_time_over_dt,max_time_over_dt,Nsim,P,Nc,Q_scale,termination
uav,GWO,A_tuned_NP,13001010,10,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.0008708591451429948,0.0008692986026327382,1.5605425102566128e-06,0.00023565983534452748,19.768935615196824,19.760384006076492,20.134838994999882,20.720033993711695,0.1,0.20134838994999882,0.20720033993711695,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001011,11,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.000870722517693451,0.0008692986026327382,1.4239150607128206e-06,0.00026023273019864905,19.77724596572807,19.759858012548648,20.105077617336065,20.79083098215051,0.1,0.20105077617336065,0.2079083098215051,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001012,12,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.000868950641927086,0.0008692986026327382,-3.4796070565222634e-07,0.00010243285742161671,19.73324119951576,19.710752996616066,20.10076018195832,20.468288013944402,0.1,0.20100760181958321,0.20468288013944402,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001013,13,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.0008676199000040522,0.0008692986026327382,-1.6787026286859937e-06,0.00023947730981059781,19.810746769653633,19.788408506428823,20.155540357518476,23.688949004281312,0.1,0.20155540357518476,0.23688949004281312,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001014,14,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.0008692900238788183,0.0008692986026327382,-8.57875391991475e-09,0.00014894225101703824,19.823823736573104,19.81282400083728,20.11976024659816,20.620378985768184,0.1,0.20119760246598162,0.20620378985768184,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001015,15,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.0008689895879297654,0.0008692986026327382,-3.090147029727666e-07,0.00017277206570923302,19.769585437548812,19.76601200294681,20.092014865076635,20.622122014174238,0.1,0.20092014865076635,0.20622122014174238,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001016,16,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.00086835822934285,0.0008692986026327382,-9.40373289888205e-07,0.0001621620513117427,19.73128860926954,19.70416349649895,20.075834001181647,20.903651980916038,0.1,0.20075834001181647,0.20903651980916038,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001017,17,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.0008691675898040616,0.0008692986026327382,-1.3101282867660023e-07,0.00016792944427281676,19.76894042623462,19.737876500585116,20.124965962895658,20.582246012054384,0.1,0.20124965962895658,0.20582246012054384,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001018,18,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.0008687151678726996,0.0008692986026327382,-5.834347600385892e-07,0.0002445055033558612,20.070847749884706,20.055079978192225,20.442862655909266,21.12454199232161,0.1,0.20442862655909266,0.2112454199232161,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,GWO,A_tuned_NP,13001019,19,eval,30,1000,39,500000.0,1000.0,1000.0,1000.0,True,0.0008694886308436195,0.0008692986026327382,1.9002821088128646e-07,0.0001886904982690767,19.818098372546956,19.783423500484787,20.155965271987952,23.805697011994198,0.1,0.20155965271987952,0.23805697011994198,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002000,0,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.0008582094570032201,0.0008692986026327382,-1.1089145629518144e-05,0.006300604441461157,4.060815368604381,4.059433005750179,4.155783251917455,4.362219013273716,0.1,0.04155783251917455,0.04362219013273716,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002001,1,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.0008596756707534688,0.0008692986026327382,-9.622931879269426e-06,0.005924587294264423,4.043090028048027,4.04105699271895,4.131824056094047,4.5233420096337795,0.1,0.04131824056094047,0.045233420096337795,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002002,2,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.0008648565304282997,0.0008692986026327382,-4.4420722044385096e-06,0.003525250564758357,4.053089469613042,4.048919989145361,4.137044852541294,4.4615030055865645,0.1,0.04137044852541294,0.044615030055865645,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002003,3,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.0030786538825861684,0.0008692986026327382,0.0022093552799534303,0.21498920418345444,4.0829269560053945,4.076196506503038,4.158745250606444,4.796848021214828,0.1,0.04158745250606444,0.04796848021214828,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002004,4,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.001990009038708957,0.0008692986026327382,0.001120710436076219,0.057634301226810784,4.083033953269478,4.07950249791611,4.15545806317823,4.435407987330109,0.1,0.0415545806317823,0.04435407987330109,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002005,5,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.0012037229942500071,0.0008692986026327382,0.00033442439161726894,0.024084187450936913,4.077197140315548,4.071490999194793,4.1534114425303414,4.466037004021928,0.1,0.041534114425303414,0.04466037004021928,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002006,6,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.0008582251459500035,0.0008692986026327382,-1.1073456682734713e-05,0.004188511049160754,4.065184686740395,4.058007994899526,4.152090060233604,4.819330002646893,0.1,0.04152090060233604,0.04819330002646893,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002007,7,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.002542058462335546,0.0008692986026327382,0.0016727598597028079,0.03451730273811537,4.049871303141117,4.046514994115569,4.147532441129442,4.197575006401166,0.1,0.04147532441129442,0.04197575006401166,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002008,8,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.012366995551208737,0.0008692986026327382,0.011497696948575999,0.24722490613708978,4.055194074928295,4.053362994454801,4.11973574955482,4.328784998506308,0.1,0.041197357495548204,0.043287849985063076,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002009,9,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.0008705209793797319,0.0008692986026327382,1.2223767469936786e-06,0.0026415531285908338,4.051883309846744,4.046606496558525,4.125483665848151,4.3277300137560815,0.1,0.04125483665848151,0.043277300137560815,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002010,10,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.0008502754476880015,0.0008692986026327382,-1.9023154944736685e-05,0.006344989267403602,4.045215879625175,4.041021995362826,4.110512053011917,4.28752601146698,0.1,0.041105120530119166,0.0428752601146698,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002011,11,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.0009169983018599393,0.0008692986026327382,4.76996992272011e-05,0.014527358853650075,4.0390841327025555,4.038753992062993,4.114453855436295,4.802964016562328,0.1,0.04114453855436295,0.04802964016562328,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002012,12,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.0008705035604113395,0.0008692986026327382,1.2049577786013132e-06,0.0029050345865099937,4.033781046106014,4.0385939937550575,4.117553838295862,4.339906998211518,0.1,0.04117553838295862,0.04339906998211518,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002013,13,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.0012185329228200962,0.0008692986026327382,0.000349234320187358,0.025679007223534583,4.058984984061681,4.050530507811345,4.135957594553474,5.068069003755227,0.1,0.04135957594553474,0.05068069003755227,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002014,14,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.0031962979534632314,0.0008692986026327382,0.0023269993508304933,0.06229541048301497,4.051798082946334,4.0488009981345385,4.123473302752245,4.653744021197781,0.1,0.04123473302752245,0.04653744021197781,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002015,15,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.0008572919653612505,0.0008692986026327382,-1.2006637271487703e-05,0.005887163022736329,4.070898032048717,4.0668290021130815,4.14913106651511,4.540872003417462,0.1,0.041491310665151104,0.04540872003417462,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
uav,PSO,A_tuned_NP,13002016,16,eval,10,1000,105,500000.0,1000.0,1000.0,1000.0,True,0.0019460852112592715,0.0008692986026327382,0.0010767866086265334,0.053620911118140185,4.065800381009467,4.060935505549423,4.142236449115444,4.300375992897898,0.1,0.04142236449115444,0.04300375992897898,500,10,1,1.0,exact FE budget; early stopping and stagnation disabled
