system,alg,NP,requested_FE,realized_FE,trial,difference,overshoot,shortfall,J,interrupted,termination
pendcart,WOA,20,500,500,0,0,0,0,-2.1378418508262675,False,optimizer loop ended at budget
pendcart,WOA,20,500,500,1,0,0,0,-2.137841850719976,False,optimizer loop ended at budget
pendcart,WOA,20,500,500,2,0,0,0,-2.1378418307469613,False,optimizer loop ended at budget
pendcart,WOA,20,500,500,3,0,0,0,-2.137841850641246,False,optimizer loop ended at budget
pendcart,WOA,20,500,500,4,0,0,0,-2.1378418490648383,False,optimizer loop ended at budget
pendcart,SGO,20,1000,1000,0,0,0,0,-2.1378403722623465,False,optimizer loop ended at budget
pendcart,SGO,20,1000,1000,1,0,0,0,-2.1378405489105132,False,optimizer loop ended at budget
pendcart,SGO,20,1000,1000,2,0,0,0,-2.137841780538116,False,optimizer loop ended at budget
pendcart,SGO,20,1000,1000,3,0,0,0,-2.1378408063374255,False,optimizer loop ended at budget
pendcart,SGO,20,1000,1000,4,0,0,0,-2.1378349509866976,False,optimizer loop ended at budget
pendcart,GWO,20,1000,1000,0,0,0,0,-2.137841817737233,False,optimizer loop ended at budget
pendcart,GWO,20,1000,1000,1,0,0,0,-2.137841797662651,False,optimizer loop ended at budget
pendcart,GWO,20,1000,1000,2,0,0,0,-2.1378417775790517,False,optimizer loop ended at budget
pendcart,GWO,20,1000,1000,3,0,0,0,-2.137841798936653,False,optimizer loop ended at budget
pendcart,GWO,20,1000,1000,4,0,0,0,-2.1378418508173347,False,optimizer loop ended at budget
pendcart,PSO,20,1000,1000,0,0,0,0,-2.13784185082609,False,optimizer loop ended at budget
