system,k,stratum,alg,budget_fe,n,median_gap,q1,q3,conv_rate,first_ctrl_err_median,time_ms_median,fe_exact
flight,6,High,WOA,5000,30,4.820765682410088e-08,4.715037418808979e-09,1.5077506331126472e-07,1.0,0.0009789128690301106,39.35422099311836,True
flight,7,High,GWO,250,30,0.0005397597624743151,0.0002460912647769359,0.0013599583074527517,0.13333333333333333,0.1211193722645059,3.0179044988472015,True
flight,7,High,GWO,500,30,0.00012803761806790134,7.298249240447512e-05,0.00026121205373203367,0.4,0.06736162216824347,6.439333490561694,True
flight,7,High,GWO,1000,30,3.099891272399402e-05,6.629603896501418e-06,6.349590414119959e-05,0.8666666666666667,0.029694854230801048,13.175472005968913,True
flight,7,High,GWO,2000,30,1.1239261259746427e-05,5.6894563933254055e-06,2.04518064230462e-05,1.0,0.01971808596046563,26.62351750768721,True
flight,7,High,GWO,5000,30,1.7668265321178929e-06,8.89583729351335e-07,4.40577147086633e-06,1.0,0.007941137857623156,66.76051550311968,True
flight,7,High,PSO,250,30,0.004061385678607699,0.0021487527109824564,0.010735210583131646,0.0,0.3710610943871811,0.9577345044817775,True
flight,7,High,PSO,500,30,0.00043474984134857925,0.00018859679660438317,0.0009152828230285649,0.13333333333333333,0.10784623817565235,1.8140854954253882,True
flight,7,High,PSO,1000,30,1.0010377235499285e-05,2.9679644611844376e-06,3.0747722421564026e-05,0.9666666666666667,0.016589692678748443,3.6016454978380352,True
flight,7,High,PSO,2000,30,6.927477423233596e-09,2.730114108700872e-09,3.717252488807174e-08,1.0,0.00041357778371818794,6.937736470717937,True
flight,7,High,PSO,5000,30,2.972923848799281e-16,1.9819492325328537e-16,7.927796930131415e-16,1.0,9.312558428610173e-08,17.19423200120218,True
flight,7,High,SGO,250,30,0.01077465634456641,0.001274893024504042,0.02813841280489736,0.03333333333333333,0.3640066042591592,3.250543464673683,True
flight,7,High,SGO,500,30,0.0016358217442015554,0.00039159530960316353,0.014349317528823003,0.1,0.1996049333345923,6.5043430076912045,True
flight,7,High,SGO,1000,30,0.0015477862670936217,0.00030004114915156883,0.013886926507596235,0.16666666666666666,0.15879358230273993,13.053982518613338,True
flight,7,High,SGO,2000,30,0.0015281128630202884,0.00021508029205745375,0.013863278839938029,0.16666666666666666,0.14946523119695268,26.32528150570579,True
flight,7,High,SGO,5000,30,0.0015197591262478944,0.00019876289821384554,0.01386198172293174,0.16666666666666666,0.15941308440887783,65.48999997903593,True
flight,7,High,WOA,250,30,0.0004397645299606901,6.306297479973224e-05,0.0007966966033395874,0.3,0.08979010195139031,1.956676016561687,True
flight,7,High,WOA,500,30,0.00014774112577131996,1.1057719317483798e-05,0.00039096747405270425,0.43333333333333335,0.048560392631720975,3.9447745075449347,True
flight,7,High,WOA,1000,30,2.5150665023306532e-05,7.377737466493042e-06,7.48339137500936e-05,0.8,0.020294750898213747,7.700526504777372,True
