system,regime,alg,runs,NP,nrmse_mean,nrmse_std,nrmse_median,nrmse_min,nrmse_max,reference_nrmse,nfe_per_step_mean,nfe_exact,time_ms_mean,time_ms_median,time_ms_p95,time_ms_max,dt_s,p95_over_dt,max_over_dt,first_input_err,rank_in_system_regime
hvac,B_common_NP,WOA,20,20,0.02076690879997287,2.992352753837321e-08,0.02076691806269338,0.020766855339866868,0.020766960371831393,0.020766893738445827,1000.0,True,7.384584000404963,7.3810411522572394,7.558097553046537,15.843011991819367,0.1,0.07558097553046536,0.15843011991819367,0.022172372911717073,4
pendcart,A_tuned_NP,GWO,20,20,0.21502159780399,3.7865438087549513e-06,0.21502115346479195,0.21501354252015217,0.21502836538325346,0.21502249100609086,1000.0,True,32.13953617453808,32.01352255346137,33.467835672490764,47.841483989031985,0.1,0.33467835672490764,0.47841483989031985,0.00012546216428438128,2
pendcart,A_tuned_NP,PSO,20,30,0.21499018484643112,3.774064274195189e-05,0.21499106892443925,0.21489624428503884,0.21502598899010444,0.21502249100609086,1000.0,True,22.75923332036473,22.721971123246476,23.330511507592746,35.41556702111848,0.1,0.23330511507592747,0.35415567021118477,0.0011042332270180856,1
pendcart,A_tuned_NP,SGO,20,20,0.21502267083187648,3.065952254833174e-05,0.21502638835959464,0.21496484290020437,0.21507000412873153,0.21502249100609086,1000.0,True,37.921730879820345,37.848428399593104,39.075545468804194,55.80168098094873,0.1,0.39075545468804196,0.5580168098094873,0.0011572459274026587,4
pendcart,A_tuned_NP,WOA,20,8,0.21502249714686555,7.27075673360569e-08,0.21502249624745434,0.21502229752055477,0.21502265146873462,0.21502249100609086,1000.0,True,30.403351806531038,30.293862875259947,31.552328427133034,38.45861597801559,0.1,0.31552328427133036,0.38458615978015587,3.3633842729750874e-06,3
pendcart,B_common_NP,GWO,20,20,0.21502255082723593,2.8014868405969603e-06,0.21502298061435318,0.2150169537142077,0.2150269251567072,0.21502249100609086,1000.0,True,32.242378153556885,32.08081559932907,33.760458300675964,44.04462900129147,0.1,0.33760458300675966,0.4404462900129147,0.00013042627479880993,4
pendcart,B_common_NP,PSO,20,20,0.21495249680905562,9.498559229255033e-05,0.21498806508164334,0.2146092931193229,0.2150230392581954,0.21502249100609086,1000.0,True,23.06780078825735,23.02308849975816,23.669976520031923,37.76090100291185,0.1,0.23669976520031924,0.3776090100291185,0.0017150896789732413,1
pendcart,B_common_NP,SGO,20,20,0.21502038160468456,2.45433629606707e-05,0.21502574356041992,0.21498538687800398,0.21504966689588312,0.21502249100609086,1000.0,True,38.0597954679882,38.01029064998147,39.1692842952034,44.474202004494146,0.1,0.391692842952034,0.44474202004494146,0.0011905817959912209,2
pendcart,B_common_NP,WOA,20,20,0.2150224903730214,8.468288741257931e-08,0.21502250140008322,0.21502229449398522,0.2150226153291974,0.21502249100609086,1000.0,True,29.572039325537236,29.51040500192903,30.50866992380179,34.59905800991692,0.1,0.3050866992380179,0.34599058009916916,5.146310631414928e-06,3
uav,A_tuned_NP,GWO,20,30,0.0008691789649462826,8.862619163347543e-07,0.0008690785888669135,0.0008676199000040522,0.0008708591451429948,0.0008692986026327382,1000.0,True,19.80167718862067,19.78000554954633,20.143971289944602,26.600176002830267,0.1,0.201439712899446,0.26600176002830267,0.00018936105131701924,1
uav,A_tuned_NP,PSO,20,10,0.0024783544943132742,0.0029940303430775975,0.0012111279585350517,0.0008502754476880015,0.012366995551208737,0.0008692986026327382,1000.0,True,4.057310234685429,4.053677848423831,4.135008848825237,5.068069003755227,0.1,0.04135008848825237,0.05068069003755227,0.05989351395869247,4
uav,A_tuned_NP,SGO,20,20,0.0009272947014117175,4.468043300986927e-05,0.0009272683148439432,0.0008449949805254361,0.0010267316591143153,0.0008692986026327382,1000.0,True,11.667126720052329,11.65427315136185,12.0073065131146,24.123563984176144,0.1,0.12007306513114599,0.24123563984176144,0.004685259125713495,2
uav,A_tuned_NP,WOA,20,30,0.001251405284918319,0.0002123169635681793,0.001236181642002507,0.000940955284045196,0.001805691489584182,0.0008692986026327382,1000.0,True,7.397800059558358,7.38937195201288,7.543893843248952,12.007509998511523,0.1,0.07543893843248953,0.12007509998511523,0.011108042869141004,3
uav,B_common_NP,GWO,20,20,0.0008736063438006617,1.4616082063931412e-05,0.0008689093240544643,0.0008672478520953382,0.0009173899069928087,0.0008692986026327382,1000.0,True,19.93857714353944,19.908363150898367,20.333141422233894,29.082102002575994,0.1,0.20333141422233894,0.29082102002575994,0.000660772930798567,1
uav,B_common_NP,PSO,20,20,0.0026352429695763015,0.0013728643015852998,0.0025852896060272815,0.001012706394737175,0.005402786403278914,0.0008692986026327382,1000.0,True,3.5641400516557042,3.559225328353932,3.638489753138856,5.33120401087217,0.1,0.03638489753138856,0.0533120401087217,0.20292501921006045,4
uav,B_common_NP,SGO,20,20,0.0009355707811974255,4.665480177125378e-05,0.0009364000631794497,0.0008614316724327108,0.0010166121324760426,0.0008692986026327382,1000.0,True,11.575215242261766,11.555712350673275,11.913237615372054,18.120880995411426,0.1,0.11913237615372055,0.18120880995411426,0.004747569929955441,2
uav,B_common_NP,WOA,20,20,0.0012682841270001788,0.0002441686681385823,0.001285538542282061,0.0008963480037329076,0.0017493626155656687,0.0008692986026327382,1000.0,True,7.424717745548696,7.415874848811654,7.586128079492482,18.47671199357137,0.1,0.07586128079492482,0.1847671199357137,0.011759482054645972,3
