system,Nc,source,k,max_cart_over_box,min_cart_over_box,worst_abs_cart_over_box,limit,penalty_can_activate,margin
pendcart,1,SGO,58,2.8862087077784206,0.4557225434834161,2.8862087077784206,10.0,False,7.113791292221579
pendcart,1,SGO,59,2.8818883749687934,0.4553869246535571,2.8818883749687934,10.0,False,7.118111625031206
pendcart,1,SGO,60,2.8780381039959573,0.4548358305399394,2.8780381039959573,10.0,False,7.121961896004043
pendcart,1,SGO,61,2.8747488039198323,0.45414690332043994,2.8747488039198323,10.0,False,7.125251196080168
pendcart,1,SGO,62,2.872042281568338,0.4533865480571257,2.872042281568338,10.0,False,7.127957718431662
pendcart,1,SGO,63,2.869951699101651,0.4526144734060466,2.869951699101651,10.0,False,7.130048300898348
pendcart,1,SGO,64,2.868461590240512,0.4518787272399398,2.868461590240512,10.0,False,7.131538409759488
pendcart,1,SGO,65,2.8675475778540993,0.451217711589583,2.8675475778540993,10.0,False,7.132452422145901
pendcart,1,SGO,66,2.8671387973514557,0.45065672204005863,2.8671387973514557,10.0,False,7.132861202648544
pendcart,1,SGO,67,2.8671686192319354,0.4502116418854614,2.8671686192319354,10.0,False,7.1328313807680646
pendcart,1,SGO,68,2.86756492075686,0.4498895183039453,2.86756492075686,10.0,False,7.13243507924314
pendcart,1,SGO,69,2.868232755828405,0.449687633992029,2.868232755828405,10.0,False,7.131767244171595
pendcart,1,SGO,70,2.8690982512114624,0.4495979700013515,2.8690982512114624,10.0,False,7.1309017487885376
pendcart,1,SGO,71,2.870070171706181,0.449605592913888,2.870070171706181,10.0,False,7.129929828293819
pendcart,1,SGO,72,2.8710818651462287,0.449692998354948,2.8710818651462287,10.0,False,7.128918134853771
pendcart,1,SGO,73,2.8720431116040173,0.44983738554541375,2.8720431116040173,10.0,False,7.127956888395983
pendcart,1,SGO,74,2.8729122679247867,0.45001751586570593,2.8729122679247867,10.0,False,7.127087732075213
pendcart,1,SGO,75,2.873638218966445,0.4502111163420076,2.873638218966445,10.0,False,7.126361781033555
pendcart,1,SGO,76,2.874189530074773,0.4503976247224296,2.874189530074773,10.0,False,7.125810469925227
pendcart,1,SGO,77,2.874539208244492,0.4505579416417137,2.874539208244492,10.0,False,7.125460791755508
pendcart,1,SGO,78,2.8746870892336003,0.4506770572917866,2.8746870892336003,10.0,False,7.1253129107664
pendcart,1,SGO,79,2.874630966268219,0.4507424966987335,2.874630966268219,10.0,False,7.125369033731781
pendcart,1,SGO,80,2.8743882541329806,0.4507461845321959,2.8743882541329806,10.0,False,7.125611745867019
pendcart,1,SGO,81,2.8739805583018536,0.45068367188023406,2.8739805583018536,10.0,False,7.126019441698146
pendcart,1,SGO,82,2.873422660880229,0.450552773453181,2.873422660880229,10.0,False,7.1265773391197715
pendcart,1,SGO,83,2.87275484550903,0.45035613161756344,2.87275484550903,10.0,False,7.12724515449097
pendcart,1,SGO,84,2.872005886106527,0.45009843381005105,2.872005886106527,10.0,False,7.1279941138934735
pendcart,1,SGO,85,2.871209710680976,0.44978697514265603,2.871209710680976,10.0,False,7.128790289319024
pendcart,1,SGO,86,2.8703897865403714,0.44942991390004283,2.8703897865403714,10.0,False,7.129610213459628
pendcart,1,SGO,87,2.8695941514715173,0.4490389835413123,2.8695941514715173,10.0,False,7.130405848528483
pendcart,1,SGO,88,2.8688461455155445,0.44862548354109216,2.8688461455155445,10.0,False,7.131153854484456
pendcart,1,SGO,89,2.8681589523703197,0.4481999730367717,2.8681589523703197,10.0,False,7.13184104762968
pendcart,1,SGO,90,2.86755344611099,0.44777339741024047,2.86755344611099,10.0,False,7.13244655388901
pendcart,1,SGO,91,2.867043414764669,0.44735593113651856,2.867043414764669,10.0,False,7.1329565852353305
pendcart,1,SGO,92,2.866635337736457,0.446956463507394,2.866635337736457,10.0,False,7.133364662263543
pendcart,1,SGO,93,2.866329439605296,0.4465822819382849,2.866329439605296,10.0,False,7.1336705603947035
pendcart,1,SGO,94,2.8661328741232253,0.446240177855559,2.8661328741232253,10.0,False,7.133867125876774
pendcart,1,SGO,95,2.8660289467940734,0.44593373153940685,2.8660289467940734,10.0,False,7.133971053205927
pendcart,1,SGO,96,2.866012910565245,0.4456657755567446,2.866012910565245,10.0,False,7.133987089434755
pendcart,1,SGO,97,2.866066799769894,0.44543669046376616,2.866066799769894,10.0,False,7.133933200230106
pendcart,1,SGO,98,2.86618994835994,0.4452470161974413,2.86618994835994,10.0,False,7.13381005164006
pendcart,1,SGO,99,2.866348336828659,0.4450933517958944,2.866348336828659,10.0,False,7.1336516631713405
pendcart,1,SGO,100,2.866555827965539,0.44497508844794964,2.866555827965539,10.0,False,7.13344417203446
pendcart,1,SGO,101,2.8667768199779755,0.444887264627941,2.8667768199779755,10.0,False,7.133223180022025
pendcart,1,SGO,102,2.867005994836963,0.4448260378294536,2.867005994836963,10.0,False,7.132994005163037
