system,k,stratum,warm_gap_norm,cold_gap_norm_drift,df_over_max,dU_shift,alg,start,trial,seed,NP,J_star,J_start,J_final,start_gap_norm,final_gap_norm,final_gap_abs,trivial_start,converged_1e4,control_error,first_control_error,returned_incumbent,improvement_fraction,time_ms,requested_fe,realized_fe,fe_exact,warm_start_provenance
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,13,11012013,30,-7.961303237069256e-07,-3.632403487027142e-08,-5.100096707276099e-07,7.598062888366542e-07,2.8612065297931573e-07,2.8612065297931573e-07,True,True,0.0015011526703372136,0.0015011526703372136,False,0.6234294751397788,25.15272900927812,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,14,11012014,30,-7.961303237069256e-07,-3.632403487027142e-08,-7.958542223602193e-07,7.598062888366542e-07,2.761013467062995e-10,2.761013467062995e-10,True,True,4.663205149084372e-05,4.663205149084372e-05,False,0.9996366161339241,25.062019005417824,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,15,11012015,30,-7.961303237069256e-07,-3.632403487027142e-08,-7.931246002197009e-07,7.598062888366542e-07,3.005723487224702e-09,3.005723487224702e-09,True,True,0.0001538596612327887,0.0001538596612327887,False,0.9960440923806688,25.237873021978885,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,16,11012016,30,-7.961303237069256e-07,-3.632403487027142e-08,-7.881690678389686e-07,7.598062888366542e-07,7.961255867957016e-09,7.961255867957016e-09,True,True,0.00025040387793061466,0.00025040387793061466,False,0.9895219926645428,25.09183599613607,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,17,11012017,30,-7.961303237069256e-07,-3.632403487027142e-08,-7.960758097394005e-07,7.598062888366542e-07,5.451396752514732e-11,5.451396752514732e-11,True,True,2.0720687213671065e-05,2.0720687213671065e-05,False,0.9999282528082143,25.240574002964422,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,18,11012018,30,-7.961303237069256e-07,-3.632403487027142e-08,-7.953214684962935e-07,7.598062888366542e-07,8.088552106321008e-10,8.088552106321008e-10,True,True,7.981520862455167e-05,7.981520862455167e-05,False,0.998935445491152,24.897726980270818,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,reference_warm,19,11012019,30,-7.961303237069256e-07,-3.632403487027142e-08,-7.863421304697989e-07,7.598062888366542e-07,9.788193237126708e-09,9.788193237126708e-09,True,True,0.0002776524606270341,0.0002776524606270341,False,0.987117514844325,25.168120017042384,1000,1000,True,previous OSQP optimum (identity shift at Nc=1)
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,0,11022000,30,-7.961303237069256e-07,3.281020924644712e-07,-7.916309676972083e-07,1.1242324161713967e-06,4.4993560097172815e-09,4.4993560097172815e-09,True,True,0.00018824586198615137,0.00018824586198615137,False,0.9959978417763119,25.535303982906044,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002000, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,1,11022001,30,-7.961303237069256e-07,1.8191174779364176e-07,-7.875460298467613e-07,9.780420715005673e-07,8.584293860164284e-09,8.584293860164284e-09,True,True,0.0002600174814951302,0.0002600174814951302,False,0.9912229809838409,25.632167991716415,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002001, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,2,11022002,30,-7.961303237069256e-07,1.3217054312714193e-07,-7.906904530925507e-07,9.283008668340676e-07,5.439870614374893e-09,5.439870614374893e-09,True,True,0.00020698770272948577,0.00020698770272948577,False,0.9941399703385743,25.23875198676251,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002002, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,3,11022003,30,-7.961303237069256e-07,3.6937507969580636e-08,-7.954584688400207e-07,8.330678316765063e-07,6.718548669048902e-10,6.718548669048902e-10,True,True,7.274246154728454e-05,7.274246154728454e-05,False,0.9991935172126947,25.28018702287227,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002003, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,4,11022004,30,-7.961303237069256e-07,-6.32048775192529e-07,-7.958909586094455e-07,1.6408154851439668e-07,2.3936509748013185e-10,2.3936509748013185e-10,True,True,4.3419085482351936e-05,4.3419085482351936e-05,False,0.9985411821155556,25.383044994669035,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002004, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,5,11022005,30,-7.961303237069256e-07,3.1742031850863136e-07,-7.89825706982961e-07,1.1135506422155569e-06,6.304616723964631e-09,6.304616723964631e-09,True,True,0.00022283304977048198,0.00022283304977048198,False,0.9943382757057005,26.042217010399327,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002005, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,6,11022006,30,-7.961303237069256e-07,6.586527530249368e-08,-7.95749462600511e-07,8.619955990094193e-07,3.8086110641460926e-10,3.8086110641460926e-10,True,True,5.4768843662149434e-05,5.4768843662149434e-05,False,0.9995581635139991,25.844969000900164,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002006, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,7,11022007,30,-7.961303237069256e-07,3.059393803066344e-07,-7.961300512425629e-07,1.10206970401356e-06,2.724643627654506e-13,2.724643627654506e-13,True,True,1.4648903311959872e-06,1.4648903311959872e-06,False,0.9999997527702996,26.33468000567518,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002007, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,8,11022008,30,-7.961303237069256e-07,9.726090527684537e-08,-7.798578115602224e-07,8.93391228983771e-07,1.6272512146703227e-08,1.6272512146703227e-08,True,True,0.0003579954950367853,0.0003579954950367853,False,0.9817856817721244,25.994785013608634,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002008, step k-1"
pendcart,105,Benign,5.885472913711216e-07,1.5648257326906362e-08,0.0004226581217448,0.002152984692486,PSO,optimizer_warm,9,11022009,30,-7.961303237069256e-07,9.840297943747016e-09,-7.727128836201857e-07,8.059706216506726e-07,2.341744008673989e-08,2.341744008673989e-08,True,True,0.0004294572791365219,0.0004294572791365219,False,0.9709450450702786,25.972597999498248,1000,1000,True,"matched Phase-2A Regime-A run, alg=PSO, seed=9002009, step k-1"
