system,tail,alg,trial,seed,NP,nrmse,reference_nrmse,mean_norm_gap,median_norm_gap,mean_first_input_error,realized_fe_mean,fe_exact,time_ms_mean
flight,hold_last,SGO,2,19000002,8,0.020408033776390187,0.020441952497158578,0.00024172881402762311,2.5285832577275378e-05,0.03174183871119259,1000.0,True,18.536269020211574
flight,hold_last,SGO,3,19000003,8,0.020370106062446717,0.020441952497158578,0.00023776689867090908,4.197951628620747e-05,0.04037739361659202,1000.0,True,18.569794501333188
flight,hold_last,SGO,4,19000004,8,0.02042163984372239,0.020441952497158578,0.00015594360642759623,2.975158723228859e-05,0.029625128329827912,1000.0,True,18.72429501847364
flight,hold_last,SGO,5,19000005,8,0.020996398199467158,0.020441952497158578,0.0029597657754087793,2.4635084438384477e-05,0.053029334414082106,1000.0,True,19.16030202410184
flight,hold_last,SGO,6,19000006,8,0.020447989929026883,0.020441952497158578,0.0003817893998175923,3.097213269765419e-05,0.032834080879467153,1000.0,True,18.461162926008303
flight,hold_last,SGO,7,19000007,8,0.02090213761435484,0.020441952497158578,0.0019846009040559633,2.652992772274289e-05,0.048619112916865666,1000.0,True,18.613605006830767
flight,hold_last,SGO,8,19000008,8,0.020475144756635224,0.020441952497158578,0.00033126108273499877,3.6641579818279954e-05,0.03632808646604109,1000.0,True,18.451547053797793
flight,hold_last,SGO,9,19000009,8,0.021345873030737147,0.020441952497158578,0.004216471141851834,2.6144464331571164e-05,0.05992324248469472,1000.0,True,18.548636498550575
flight,hold_last,GWO,0,19001000,30,0.020453192607000306,0.020441952497158578,1.8605773613692467e-05,1.2393275004882045e-06,0.010273801363451402,1000.0,True,17.121074373135343
flight,hold_last,GWO,1,19001001,30,0.020475350540226454,0.020441952497158578,2.2369995689221545e-05,1.6882352302617767e-06,0.010114181140096762,1000.0,True,17.434896297442418
flight,hold_last,GWO,2,19001002,30,0.020372893986230572,0.020441952497158578,1.6290672379790986e-05,1.9615217113472855e-06,0.009768003133248443,1000.0,True,17.830418780989323
flight,hold_last,GWO,3,19001003,30,0.020365098835282418,0.020441952497158578,2.91369926469439e-05,1.3308827346842562e-06,0.01079980682180031,1000.0,True,17.52944671975759
flight,hold_last,GWO,4,19001004,30,0.02037409150437459,0.020441952497158578,1.7764144938606972e-05,1.514418816725797e-06,0.010079751429671857,1000.0,True,17.519652189997334
flight,hold_last,GWO,5,19001005,30,0.02039874541632984,0.020441952497158578,2.150117677713554e-05,1.2973423377006716e-06,0.009885819585630394,1000.0,True,17.787182601944853
flight,hold_last,GWO,6,19001006,30,0.020478787055253266,0.020441952497158578,3.0196755460083075e-05,1.3542873951029895e-06,0.010286045655323376,1000.0,True,17.14131411863491
flight,hold_last,GWO,7,19001007,30,0.020429314506360253,0.020441952497158578,1.8721136284846614e-05,1.8897306827650027e-06,0.009690914177730716,1000.0,True,17.486973225604743
flight,hold_last,GWO,8,19001008,30,0.020456340358519433,0.020441952497158578,2.017761749776849e-05,1.6033356049054799e-06,0.01010292753816134,1000.0,True,16.901773582988728
flight,hold_last,GWO,9,19001009,30,0.020450758717626086,0.020441952497158578,1.8417503531601448e-05,1.2095225754513104e-06,0.008013712629768672,1000.0,True,17.137617334180202
flight,hold_last,PSO,0,19002000,30,0.020450943605408913,0.020441952497158578,0.00017925068651396462,5.909404123211694e-05,0.034240533248906566,1000.0,True,4.622135415362815
flight,hold_last,PSO,1,19002001,30,0.020462048428989833,0.020441952497158578,0.00023341692915209442,8.749402454765506e-05,0.03953081318641484,1000.0,True,4.593803259000803
flight,hold_last,PSO,2,19002002,30,0.020361993487580745,0.020441952497158578,0.0001650642704897393,5.6284704301658395e-05,0.03323033882951312,1000.0,True,4.658431740632902
flight,hold_last,PSO,3,19002003,30,0.02041758940891166,0.020441952497158578,0.00019100617462582676,6.843874397433858e-05,0.03323652960174955,1000.0,True,4.553980857599527
flight,hold_last,PSO,4,19002004,30,0.020417277728638588,0.020441952497158578,0.00020713992719385022,7.108118377446111e-05,0.032290537908227925,1000.0,True,4.773706541551898
flight,hold_last,PSO,5,19002005,30,0.020408512380198984,0.020441952497158578,0.00017864806427972084,6.52809752442408e-05,0.03222459160965947,1000.0,True,4.395593060180545
flight,hold_last,PSO,6,19002006,30,0.02044322368021179,0.020441952497158578,0.0001900432285939406,7.501815047026497e-05,0.034177065615802145,1000.0,True,4.42919829278253
flight,hold_last,PSO,7,19002007,30,0.020344480690777437,0.020441952497158578,0.00019372791393419082,6.822625644852882e-05,0.03625415114165793,1000.0,True,4.345983672343816
flight,hold_last,PSO,8,19002008,30,0.02048612255427626,0.020441952497158578,0.0001947301566990661,8.390118999828335e-05,0.03498510058371089,1000.0,True,4.695351381475727
flight,hold_last,PSO,9,19002009,30,0.020377924663822704,0.020441952497158578,0.0002326526657857426,6.230636901089795e-05,0.03721780813597767,1000.0,True,4.953446073535209
flight,hold_last,WOA,0,19003000,10,0.020442341977159856,0.020441952497158578,6.313279979439411e-06,3.3261391502611913e-07,0.005366136061286429,1000.0,True,10.390738661711415
flight,hold_last,WOA,1,19003001,10,0.0204335153745291,0.020441952497158578,8.95969618722193e-06,3.3751927865709925e-07,0.005818249305457532,1000.0,True,10.299865457927808
flight,hold_last,WOA,2,19003002,10,0.02042420989823217,0.020441952497158578,3.259966155496331e-05,3.587550434112326e-07,0.007769261186376631,1000.0,True,10.313292731686184
