lambda_min,lambda_max,cond_H,J_lbfgsb,lbfgsb_multistart_spread,lbfgsb_success,osqp_status,J_osqp,osqp_iterations,osqp_primal_residual,osqp_dual_residual,obj_abs_diff,obj_rel_diff,sol_inf_diff,osqp_minus_lbfgsb,proj_grad_norm,subopt_bound_abs,n_free,n_active,subopt_bound_norm,reference_solver,J_reference,system,Nc,P,dim,step,role
0.02135629115282952,2794.824348935617,130866.55959760725,-1.3328577156904724e-11,1.5970137007127508e-10,True,solved,-1.3796100536281666e-11,75,,,4.675233793769425e-13,4.675233793769425e-13,4.892020500537188e-06,-4.675233793769425e-13,1.3275228267305122e-13,4.1259899550888973e-25,6,0,4.1259899550888973e-25,OSQP,-1.3796100536281666e-11,cstr,3,20,6,90,near_settled
0.021307568140349623,4471.608453623953,209860.10342288556,-7100.4408146159985,7.275957614183426e-12,True,solved,-7100.440814615998,125,,,9.094947017729282e-13,1.280898926586032e-16,2.4399258613527763e-08,9.094947017729282e-13,2.2048395749152405e-05,1.1407490331819378e-08,1,9,1.6065890315341373e-12,L-BFGS-B,-7100.4408146159985,cstr,5,20,10,0,k0
0.021307568140349623,4471.608453623953,209860.10342288556,-70.11644999178712,6.402976993058473e-07,True,solved,-70.1164499917931,450,,,5.9827698351000436e-12,8.53261942925065e-14,2.0648483218518865e-05,-5.9827698351000436e-12,4.997772038440181e-11,5.861233244378276e-20,6,4,8.359284083926545e-22,OSQP,-70.1164499917931,cstr,5,20,10,5,early_transient
0.021307568140349623,4471.608453623953,209860.10342288556,-1.1276403926050374e-11,8.405013448276312e-10,True,solved,-1.389067642408316e-11,75,,,2.6142724980327857e-12,2.6142724980327857e-12,9.861207623752025e-06,-2.6142724980327857e-12,1.2599491612331352e-13,3.7251362483875487e-25,10,0,3.7251362483875487e-25,OSQP,-1.389067642408316e-11,cstr,5,20,10,50,mid_trajectory
0.021307568140349623,4471.608453623953,209860.10342288556,-110.52509021632625,0.21061433759042814,True,solved,-110.52509021632648,325,,,2.2737367544323206e-13,2.0572132083149883e-15,1.1165902709525666e-06,-2.2737367544323206e-13,2.2033795207898538e-11,1.1392387157130699e-20,4,6,1.0307512199114989e-22,OSQP,-110.52509021632648,cstr,5,20,10,4,high_drift_phase1
0.021307568140349623,4471.608453623953,209860.10342288556,-1.1871370443277168e-11,3.897936306236338e-10,True,solved,-1.3796101170564074e-11,75,,,1.9247307272869052e-12,1.9247307272869052e-12,9.590491977634397e-06,-1.9247307272869052e-12,1.2612933897476336e-13,3.733089117778066e-25,10,0,3.733089117778066e-25,OSQP,-1.3796101170564074e-11,cstr,5,20,10,90,near_settled
0.021291488205300357,6527.539668527161,306579.7752409894,-7175.464038319836,0.002534269287934876,True,solved,-7175.4640383211345,1700,,,1.2987584341317415e-09,1.8099992240165295e-13,0.00031955964616882165,-1.2987584341317415e-09,3.3859233129399565e-09,2.6922675790826814e-16,4,12,3.7520466477211966e-20,OSQP,-7175.4640383211345,cstr,8,20,16,0,k0
0.021291488205300357,6527.539668527161,306579.7752409894,-70.11644999174047,1.2231025607434276e-05,True,solved,-70.11644999205792,475,,,3.1745628348289756e-10,4.527557848697318e-12,7.085828111207115e-05,-3.1745628348289756e-10,5.837865726997574e-11,8.003357003003854e-20,12,4,1.1414378514471844e-21,OSQP,-70.11644999205792,cstr,8,20,16,5,early_transient
0.021291488205300357,6527.539668527161,306579.7752409894,-6.476703142356099e-12,8.065793007240587e-05,True,solved,-1.3890676424085158e-11,75,,,7.41397328172906e-12,7.41397328172906e-12,1.1620822043315385e-05,-7.41397328172906e-12,1.2552992713104107e-13,3.7004840745706313e-25,16,0,3.7004840745706313e-25,OSQP,-1.3890676424085158e-11,cstr,8,20,16,50,mid_trajectory
0.021291488205300357,6527.539668527161,306579.7752409894,-110.52511018671356,1.4207579965841433e-06,True,solved,-110.52511018711128,350,,,3.977191909143585e-10,3.5984509786281043e-12,0.0001540442567479483,-3.977191909143585e-10,2.7168248797509604e-11,1.7333540417800247e-20,10,6,1.5682898111076999e-22,OSQP,-110.52511018711128,cstr,8,20,16,4,high_drift_phase1
0.021291488205300357,6527.539668527161,306579.7752409894,-6.374539698019294e-12,3.918231180270026e-05,True,solved,-1.3796101170566059e-11,75,,,7.421561472546766e-12,7.421561472546766e-12,1.1607664269435074e-05,-7.421561472546766e-12,1.256528155991125e-13,3.7077328544967815e-25,16,0,3.7077328544967815e-25,OSQP,-1.3796101170566059e-11,cstr,8,20,16,90,near_settled
0.03596684187208898,0.26043876822533957,7.241079690887331,-7.344862983109914,1.7763568394002505e-14,True,solved,-7.344862983109915,50,,,8.881784197001252e-16,1.2092511756074428e-16,8.912016902229425e-08,-8.881784197001252e-16,0.0,0.0,1,1,0.0,OSQP,-7.344862983109915,flight,1,20,2,0,k0
0.03596684187208898,0.26043876822533957,7.241079690887331,-1.1203344731553335,3.68594044175552e-14,True,solved,-1.120334473155334,50,,,4.440892098500626e-16,3.963898465065709e-16,3.5144926968655454e-08,-4.440892098500626e-16,1.8041124150158794e-16,4.5247531289927326e-31,2,0,4.038752031122564e-31,OSQP,-1.120334473155334,flight,1,20,2,7,early_transient
0.03596684187208898,0.26043876822533957,7.241079690887331,-8.41271665166486e-06,1.2161699056677244e-17,True,solved,-8.412716651673687e-06,50,,,8.827777376284318e-18,8.827777376284318e-18,1.9221455180989944e-08,-8.827777376284318e-18,4.9920416902738796e-18,3.4643686991005054e-34,2,0,3.4643686991005054e-34,OSQP,-8.412716651673687e-06,flight,1,20,2,75,mid_trajectory
0.03596684187208898,0.26043876822533957,7.241079690887331,-1.7075167804355509e-07,5.365973917297829e-15,True,solved,-1.7075167804861592e-07,50,,,5.060836571387233e-18,5.060836571387233e-18,9.929062967650726e-09,-5.060836571387233e-18,2.7906361414913366e-19,1.0826152184689081e-36,2,0,1.0826152184689081e-36,OSQP,-1.7075167804861592e-07,flight,1,20,2,135,near_settled
