system,alg,NP,maxIter_derived,fe_budget,seed,trial,nrmse,mean_nfe_per_step,mean_time_ms,P,Nc,Q_scale,ic
cstr,GWO,14,77,1000,9021000,0,0.196693401844186,1000.0,13.28237685986096,20,1,1.0,tune
cstr,GWO,14,77,1000,9021001,1,0.19668999789172906,1000.0,13.535445118614007,20,1,1.0,tune
cstr,GWO,14,77,1000,9021002,2,0.19669118435721375,1000.0,13.061875340645202,20,1,1.0,tune
cstr,GWO,20,55,1000,9031000,0,0.1967081388143926,1000.0,14.00348401919473,20,1,1.0,tune
cstr,GWO,20,55,1000,9031001,1,0.1966647741171537,1000.0,13.406329760618974,20,1,1.0,tune
cstr,GWO,20,55,1000,9031002,2,0.1966963347471385,1000.0,13.621163080097176,20,1,1.0,tune
cstr,GWO,30,39,1000,9041000,0,0.19670626198149532,1000.0,14.085611380869523,20,1,1.0,tune
cstr,GWO,30,39,1000,9041001,1,0.1967015019791054,1000.0,14.375657819618937,20,1,1.0,tune
cstr,GWO,30,39,1000,9041002,2,0.19669107560591811,1000.0,13.759858849516604,20,1,1.0,tune
cstr,PSO,8,130,1000,9002000,0,0.1952244624366385,1000.0,4.609945058473386,20,1,1.0,tune
cstr,PSO,8,130,1000,9002001,1,0.19522464835842068,1000.0,4.430761837284081,20,1,1.0,tune
cstr,PSO,8,130,1000,9002002,2,0.19525944753287516,1000.0,4.53325677808607,20,1,1.0,tune
cstr,PSO,10,105,1000,9012000,0,0.19522463616222266,1000.0,4.115467810479458,20,1,1.0,tune
cstr,PSO,10,105,1000,9012001,1,0.19669063914497764,1000.0,4.079412241408136,20,1,1.0,tune
cstr,PSO,10,105,1000,9012002,2,0.196690440138975,1000.0,4.050829331681598,20,1,1.0,tune
cstr,PSO,14,77,1000,9022000,0,0.19522461720306244,1000.0,3.794967088033445,20,1,1.0,tune
cstr,PSO,14,77,1000,9022001,1,0.19669071188045953,1000.0,3.7965633897692896,20,1,1.0,tune
cstr,PSO,14,77,1000,9022002,2,0.19669042849855947,1000.0,3.8267214223742485,20,1,1.0,tune
cstr,PSO,20,55,1000,9032000,0,0.19669146798467477,1000.0,3.588899230817333,20,1,1.0,tune
cstr,PSO,20,55,1000,9032001,1,0.19669069821904278,1000.0,3.714180930692237,20,1,1.0,tune
cstr,PSO,20,55,1000,9032002,2,0.19669096223490928,1000.0,3.7220102807623334,20,1,1.0,tune
cstr,PSO,30,39,1000,9042000,0,0.19668786678981165,1000.0,3.5516958494554274,20,1,1.0,tune
