system,Nc,dim,alg,n,median_gap,q1,q3,conv_rate,first_ctrl_err,cond_H,lambda_min,n_active_reference,time_ms,fe_exact
pendcart,5,5,SGO,80,0.03149093694795544,0.0023442250344841435,0.10189876476907854,0.1,3.2452832018943063,2.020082780264502,0.20028676612631413,4.0,39.97311802231707,True
pendcart,5,5,WOA,80,0.03149093694795544,6.154479466904363e-13,0.060189614003910784,0.3,6.131936868136407,2.020082780264502,0.20028676612631413,4.0,32.30907645775005,True
pendcart,8,8,GWO,80,0.0058967151221424345,0.0006044399812748956,0.012488109228073706,0.1375,3.072129195099229,2.3019115311490537,0.20026829155587844,7.0,62.96390053466894,True
pendcart,8,8,PSO,80,1.1033881130149981e-11,1.0280869806716786e-12,3.76822631067904e-10,0.9,0.00017137654683241355,2.3019115311490537,0.20026829155587844,7.0,24.456912477035075,True
pendcart,8,8,SGO,80,0.09701144596704406,0.009940106401703935,0.21842138150269927,0.0875,4.4087370407494735,2.3019115311490537,0.20026829155587844,7.0,39.749137533362955,True
pendcart,8,8,WOA,80,0.021973291134358655,0.007662413104649907,0.03715788001631569,0.15,7.528007864540872,2.3019115311490537,0.20026829155587844,7.0,32.17610949650407,True
uav,1,4,GWO,80,8.444160714117965e-06,6.700380263582575e-14,0.00035943969066272284,0.5625,0.00012074074517052464,11140.278763586146,953.3798842949244,0.25,21.14799350965768,True
uav,1,4,PSO,80,6.389967079534025e-07,2.5189167243006545e-10,0.0006148805215517157,0.6625,4.373253275194278e-05,11140.278763586146,953.3798842949244,0.25,4.2709215194918215,True
uav,1,4,SGO,80,8.609214324064005e-05,2.5189167243006545e-10,0.05268135843714764,0.5,0.00015546131332582977,11140.278763586146,953.3798842949244,0.25,12.166146480012685,True
uav,1,4,WOA,80,7.596897549406161e-05,1.6911025867477308e-10,0.12290850610026041,0.5,0.00047087663908366555,11140.278763586146,953.3798842949244,0.25,7.649149483768269,True
uav,2,8,GWO,80,0.014754062292904897,0.005045105042099216,0.2774218501146556,0.0,0.037329743063506254,3801439.8662667572,3.9353295535705115,0.25,36.55230000731535,True
uav,2,8,PSO,80,0.03637250303080382,0.007544334130084875,0.5431936328046121,0.0,0.03832901326121734,3801439.8662667572,3.9353295535705115,0.25,4.366895998828113,True
uav,2,8,SGO,80,0.011107814574652685,0.005442421554286338,0.27876714535609204,0.0,0.030716874772150262,3801439.8662667572,3.9353295535705115,0.25,12.233731977175921,True
uav,2,8,WOA,80,0.23961690028990712,0.007513571636613631,0.5320931066112053,0.0,0.05004957490448696,3801439.8662667572,3.9353295535705115,0.25,7.809052476659417,True
