system,k,stratum,role,plateau,budget_fe,variant,n,median_gap,q1,q3,conv_rate,incumbent_return,improvement_median,first_ctrl_err,time_ms,fe_exact
hvac,0,Benign,benign_reliable,False,1000,C_fitness_group,30,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13.908783032093197,True
hvac,0,Benign,benign_reliable,False,1000,D_no_warm_slot,30,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.51827652938664,True
hvac,0,Benign,benign_reliable,False,1000,baseline,30,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.561553488718346,True
hvac,298,Benign,recoverable_difficult,False,1000,A_no_greedy,30,5.4642083706710694e-05,5.4642083706710694e-05,5.4642083706710694e-05,1.0,1.0,0.0,0.11680240217861484,12.18751398846507,True
hvac,298,Benign,recoverable_difficult,False,1000,B_no_bridge,30,5.4642083706710694e-05,5.4642083706710694e-05,5.4642083706710694e-05,1.0,1.0,0.0,0.11680240217861484,12.838014983572066,True
hvac,298,Benign,recoverable_difficult,False,1000,C_fitness_group,30,5.4642083706710694e-05,5.4642083706710694e-05,5.4642083706710694e-05,1.0,1.0,0.0,0.11680240217861484,15.221777983242646,True
hvac,298,Benign,recoverable_difficult,False,1000,D_no_warm_slot,30,0.0011719421968084598,0.000643078149052282,0.00231098520195626,0.0,0.0,-20.447611754683713,0.540679140464625,11.865823005791754,True
hvac,298,Benign,recoverable_difficult,False,1000,baseline,30,5.4642083706710694e-05,5.4642083706710694e-05,5.4642083706710694e-05,1.0,0.9,0.0,0.11680240217861484,11.916007497347891,True
pendcart,3,Benign,benign_reliable,False,1000,A_no_greedy,30,0.0,0.0,0.0,1.0,0.0,1.0,0.0,38.8345250103157,True
pendcart,3,Benign,benign_reliable,False,1000,B_no_bridge,30,0.0,0.0,0.0008579902010612021,0.6333333333333333,0.3333333333333333,1.0,0.0,40.547709504608065,True
pendcart,3,Benign,benign_reliable,False,1000,C_fitness_group,30,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.72426201310009,True
pendcart,3,Benign,benign_reliable,False,1000,D_no_warm_slot,30,0.0,0.0,0.0,1.0,0.0,1.0,0.0,38.40319698792882,True
pendcart,3,Benign,benign_reliable,False,1000,baseline,30,0.0,0.0,0.0,1.0,0.0,1.0,0.0,38.27349896891974,True
pendcart,10,High,recoverable_difficult,False,1000,A_no_greedy,30,1.1634213984978992e-05,9.146462092712859e-07,6.835331113791421e-05,0.9,0.0,0.9998163940621435,0.009572327672509262,39.56404348718934,True
pendcart,10,High,recoverable_difficult,False,1000,B_no_bridge,30,0.0001271437037044798,5.846471510140283e-06,0.00039912221333501807,0.5,0.0,0.9979934751938249,0.03132979760831045,40.81744950963184,True
pendcart,10,High,recoverable_difficult,False,1000,C_fitness_group,30,1.707094896552519e-07,3.283064964332283e-08,6.081488967690785e-07,1.0,0.0,0.9999973059395341,0.0011496145001701485,43.12804649816826,True
pendcart,10,High,recoverable_difficult,False,1000,D_no_warm_slot,30,7.834149529095669e-07,1.4766190292725412e-07,2.7277114487134213e-06,1.0,0.0,0.9999876364972017,0.0024460767565410713,39.24842749256641,True
pendcart,10,High,recoverable_difficult,False,1000,baseline,30,4.965747362195572e-07,1.2857789799536334e-07,2.294622140158742e-06,1.0,0.0,0.9999921632806241,0.001977258047953123,39.965520991245285,True
uav,0,Severe,plateau,True,1000,A_no_greedy,30,0.48191529689151547,0.42115735999912984,0.5807903352632066,0.0,0.0,0.5180847031084845,0.9093085279703189,12.69576553022489,True
uav,0,Severe,plateau,True,1000,B_no_bridge,30,0.39282966738282066,0.377715333995318,0.4384721934454421,0.0,0.0,0.6071703326171793,0.9756808881529555,13.349874992854893,True
uav,0,Severe,plateau,True,1000,C_fitness_group,30,0.4319541434714671,0.29814787818502714,0.6672566373678687,0.0,0.03333333333333333,0.5680458565285329,0.7068710376500967,16.177120007341728,True
uav,0,Severe,plateau,True,1000,D_no_warm_slot,30,0.27183429105291856,0.2157838716387985,0.3301305760659551,0.0,0.0,0.7281657089470814,0.7865248127440546,12.491550500271842,True
uav,0,Severe,plateau,True,1000,baseline,30,0.309744023712789,0.23920123239073415,0.3503700923636873,0.0,0.0,0.690255976287211,0.8384207878266274,12.54051850992255,True
uav,0,Severe,plateau,True,5000,A_no_greedy,30,0.14702879717189243,0.05398954518061087,0.31452958136792286,0.0,0.0,0.8529712028281076,0.40112573680677327,63.448775006690994,True
uav,0,Severe,plateau,True,5000,B_no_bridge,30,0.4046564129321631,0.3786050981382512,0.43753229274434147,0.0,0.0,0.595343587067837,0.9849168815059349,67.07281697890721,True
uav,0,Severe,plateau,True,5000,C_fitness_group,30,0.0258508075584127,0.014021947274664005,0.04082572360618271,0.0,0.0,0.9741491924415873,0.05976256419718156,79.74517397815362,True
uav,0,Severe,plateau,True,5000,D_no_warm_slot,30,0.2165939919368054,0.14123367074995222,0.2544088921814538,0.03333333333333333,0.0,0.7834060080631946,0.6208970948659638,62.302257982082665,True
uav,0,Severe,plateau,True,5000,baseline,30,0.287713784741344,0.203287977194353,0.32513507858125196,0.0,0.0,0.712286215258656,0.7884084579394913,62.25418351823464,True
uav,31,Moderate,stratum_Moderate,False,1000,A_no_greedy,30,0.0187161164727095,0.0187161164727095,0.0187161164727095,0.0,0.0,-3.00432660976815e-12,7.033858430469475e-05,12.587166507728398,True
uav,31,Moderate,stratum_Moderate,False,1000,B_no_bridge,30,0.004785764128116293,0.0019418445601358265,0.009587480427739836,0.0,0.0,0.7442971604120476,0.0006271510147203448,13.597790501080453,True
uav,31,Moderate,stratum_Moderate,False,1000,C_fitness_group,30,0.0187161164727095,0.0187161164727095,0.0187161164727095,0.0,0.0,-3.00432660976815e-12,7.033858430469475e-05,15.902834507869557,True
uav,31,Moderate,stratum_Moderate,False,1000,D_no_warm_slot,30,0.002854126774369971,0.002036281518054818,0.004607230863963261,0.0,0.0,0.8475043271642262,0.000760711923033184,12.488204520195723,True
uav,31,Moderate,stratum_Moderate,False,1000,baseline,30,0.0021495053519999772,0.0012030204864211958,0.0029088136412794728,0.03333333333333333,0.0,0.8851521705830007,0.0006455289170268722,12.30548499734141,True
uav,275,Benign,benign_reliable,False,1000,A_no_greedy,30,4.29204701650956e-12,4.29204701650956e-12,4.29204701650956e-12,1.0,1.0,-1.6456370652867006e-07,5.48276217303455e-09,12.547360005555674,True
uav,275,Benign,benign_reliable,False,1000,B_no_bridge,30,4.29204701650956e-12,4.29204701650956e-12,4.29204701650956e-12,1.0,1.0,-1.6456370652867006e-07,5.48276217303455e-09,13.196165498811752,True
uav,275,Benign,benign_reliable,False,1000,C_fitness_group,30,4.29204701650956e-12,4.29204701650956e-12,4.29204701650956e-12,1.0,1.0,-1.6456370652867006e-07,5.48276217303455e-09,15.675458504119888,True
uav,275,Benign,benign_reliable,False,1000,D_no_warm_slot,30,0.0005096730992853216,0.00028250095493902725,0.0008133140782645026,0.03333333333333333,0.0,-118748274.86895812,0.00043892823566268695,12.161515041952953,True
uav,275,Benign,benign_reliable,False,1000,baseline,30,4.29204701650956e-12,4.29204701650956e-12,4.29204701650956e-12,1.0,1.0,-1.6456370652867006e-07,5.48276217303455e-09,12.12313398718834,True
uav,495,High,plateau,True,1000,A_no_greedy,30,0.16829106736082472,0.16829106736082472,0.16829106736082472,0.0,1.0,-4.1767791845300753e-13,0.00530461889614904,12.396590987918898,True
uav,495,High,plateau,True,1000,B_no_bridge,30,0.16829106736082472,0.16829106736082472,0.16829106736082472,0.0,0.9666666666666667,-4.1767791845300753e-13,0.00530461889614904,13.235234480816871,True
uav,495,High,plateau,True,1000,C_fitness_group,30,0.16829106736082472,0.16829106736082472,0.16829106736082472,0.0,1.0,-4.1767791845300753e-13,0.00530461889614904,15.802804002305493,True
uav,495,High,plateau,True,1000,D_no_warm_slot,30,0.10419943943401833,0.031754379813469194,0.2599737704166832,0.0,0.0,0.38083796681464455,0.01793674606828575,12.279606511583552,True
uav,495,High,plateau,True,1000,baseline,30,0.01665840268850923,0.011386748365400108,0.02595177916712772,0.0,0.0,0.9010143381359647,0.003772985528530491,12.432268471457064,True
uav,495,High,plateau,True,5000,A_no_greedy,30,0.025457569274968013,0.016007930329913315,0.03263943025599037,0.0,0.0,0.8487289333046043,0.005203767476374915,62.80774099286646,True
uav,495,High,plateau,True,5000,B_no_bridge,30,0.15851742195908425,0.12362906395048762,0.16536749425401842,0.0,0.06666666666666667,0.05807584178380097,0.012130364960101371,66.36583746876568,True
uav,495,High,plateau,True,5000,C_fitness_group,30,0.14807008924700144,0.06477695513963899,0.16829106736082472,0.0,0.43333333333333335,0.12015479152203974,0.00530461889614904,79.2426795233041,True
uav,495,High,plateau,True,5000,D_no_warm_slot,30,0.022128393857150947,0.003395146528888061,0.14700916057362606,0.06666666666666667,0.0,0.8685111800395455,0.003391712593468565,62.105389981297776,True
uav,495,High,plateau,True,5000,baseline,30,0.0027432832713819516,0.0014406493303120483,0.005547326735794483,0.0,0.0,0.9836991748023004,0.0005206141778198053,61.46437948336825,True
uav,497,High,plateau,True,1000,A_no_greedy,30,0.039956054569843004,0.039956054569843004,0.039956054569843004,0.0,1.0,-2.8385090210059953e-13,0.003319478077179845,12.501615012297407,True
uav,497,High,plateau,True,1000,B_no_bridge,30,0.039956054569843004,0.039956054569843004,0.039956054569843004,0.0,1.0,-2.8385090210059953e-13,0.003319478077179845,13.206109491875395,True
uav,497,High,plateau,True,1000,C_fitness_group,30,0.039956054569843004,0.039956054569843004,0.039956054569843004,0.0,1.0,-2.8385090210059953e-13,0.003319478077179845,15.68068951019086,True
uav,497,High,plateau,True,1000,D_no_warm_slot,30,0.07711711692376834,0.019884431913946555,0.2707116483142183,0.0,0.0,-0.9300483432114113,0.012254820472913512,12.184640014311299,True
uav,497,High,plateau,True,1000,baseline,30,0.006248122213234019,0.0027662373034760927,0.01468408876563881,0.0,0.0,0.8436251456631159,0.0034995478578238575,12.290768994716927,True
uav,497,High,plateau,True,5000,A_no_greedy,30,0.016958222633515187,0.010425980570598091,0.029349138283209696,0.0,0.1,0.5755781491419003,0.00544860723143638,62.35908449161798,True
uav,497,High,plateau,True,5000,B_no_bridge,30,0.03214411018177047,0.0246376779309027,0.037032238466650914,0.0,0.1,0.19551340772168008,0.007031148516812404,66.88021449372172,True
uav,497,High,plateau,True,5000,C_fitness_group,30,0.039956054569843004,0.03828929192803604,0.039956054569843004,0.0,0.7333333333333333,-2.8385090210059953e-13,0.003319478077179845,78.91915796790272,True
uav,497,High,plateau,True,5000,D_no_warm_slot,30,0.04067461394191668,0.002756355028020793,0.09681864024118667,0.03333333333333333,0.0,-0.017983741883953616,0.0063500867822465605,61.73240503994748,True
uav,497,High,plateau,True,5000,baseline,30,0.000934663186248363,0.00040493556813540226,0.0019805894935074576,0.1,0.0,0.9766077207494338,0.0009794388854363935,61.95923898485489,True
