system,k,stratum,drift_warm_gap,alg,NP,budget_fe,trial,seed,J_star,J,norm_gap,converged_1e4,first_control_error,realized_fe,fe_exact,time_ms
uav,0,Severe,12.449478195019829,GWO,30,5000,9,21001009,-1866.5028362955595,-1866.4960698304442,3.625210197249422e-06,True,0.0007134912398784954,5000,True,110.97057000733912
uav,0,Severe,12.449478195019829,GWO,30,5000,10,21001010,-1866.5028362955595,-1866.493961361023,4.754846531184952e-06,True,0.0008266749069282952,5000,True,110.73829495580867
uav,0,Severe,12.449478195019829,GWO,30,5000,11,21001011,-1866.5028362955595,-1866.3866921493384,6.222553963627629e-05,True,0.002865522764347916,5000,True,110.30221002874896
uav,0,Severe,12.449478195019829,GWO,30,5000,12,21001012,-1866.5028362955595,-1866.491929037592,5.8436867897943076e-06,True,0.0009605941923917037,5000,True,110.5293269501999
uav,0,Severe,12.449478195019829,GWO,30,5000,13,21001013,-1866.5028362955595,-1866.1304267787852,0.0001995226096272045,False,0.005561548868495354,5000,True,111.37056001462042
uav,0,Severe,12.449478195019829,GWO,30,5000,14,21001014,-1866.5028362955595,-1866.4812366795652,1.1572238506311344e-05,True,0.0013312765550662973,5000,True,110.31432205345482
uav,0,Severe,12.449478195019829,GWO,30,5000,15,21001015,-1866.5028362955595,-1866.476787414862,1.3955982381062771e-05,True,0.0014446439791956519,5000,True,111.14612902747467
uav,0,Severe,12.449478195019829,GWO,30,5000,16,21001016,-1866.5028362955595,-1866.4653048692803,2.010788601515879e-05,True,0.0017106178684062996,5000,True,111.0889749834314
uav,0,Severe,12.449478195019829,GWO,30,5000,17,21001017,-1866.5028362955595,-1866.4982742838667,2.4441493492844512e-06,True,0.0004861873915312914,5000,True,110.78659701161087
uav,0,Severe,12.449478195019829,GWO,30,5000,18,21001018,-1866.5028362955595,-1866.344081910671,8.505445681695526e-05,True,0.003565884497628329,5000,True,110.79640802927315
uav,0,Severe,12.449478195019829,GWO,30,5000,19,21001019,-1866.5028362955595,-1866.4847997370177,9.663290186891656e-06,True,0.0010902274438451454,5000,True,111.21678299969062
uav,0,Severe,12.449478195019829,GWO,30,5000,20,21001020,-1866.5028362955595,-1866.5011389770814,9.093575670664547e-07,True,0.00022658339448419895,5000,True,111.56250903150067
uav,0,Severe,12.449478195019829,GWO,30,5000,21,21001021,-1866.5028362955595,-1866.4717373465264,1.666161359541029e-05,True,0.0015303417969142476,5000,True,110.69016600959003
uav,0,Severe,12.449478195019829,GWO,30,5000,22,21001022,-1866.5028362955595,-1866.3884218407864,6.129883788456832e-05,True,0.002940106602084772,5000,True,111.74281098647043
uav,0,Severe,12.449478195019829,GWO,30,5000,23,21001023,-1866.5028362955595,-1866.458243162565,2.3891275238071272e-05,True,0.0018679018203356902,5000,True,112.21257603028789
uav,0,Severe,12.449478195019829,GWO,30,5000,24,21001024,-1866.5028362955595,-1866.5024082956843,2.2930577275605647e-07,True,7.692175534140113e-05,5000,True,111.53951700543985
uav,0,Severe,12.449478195019829,GWO,30,5000,25,21001025,-1866.5028362955595,-1866.4706203315168,1.7260067017456723e-05,True,0.0015780964760351397,5000,True,111.69770400738344
uav,0,Severe,12.449478195019829,GWO,30,5000,26,21001026,-1866.5028362955595,-1866.3276136742172,9.387750071147155e-05,True,0.003833906387448289,5000,True,111.32417299086228
uav,0,Severe,12.449478195019829,GWO,30,5000,27,21001027,-1866.5028362955595,-1866.3193883400268,9.828431651185946e-05,True,0.003867933923524644,5000,True,112.80627798987553
uav,0,Severe,12.449478195019829,GWO,30,5000,28,21001028,-1866.5028362955595,-1866.386921725366,6.210254168358859e-05,True,0.003131038596974702,5000,True,111.13839299650863
uav,0,Severe,12.449478195019829,GWO,30,5000,29,21001029,-1866.5028362955595,-1866.337152206387,8.876712424473627e-05,True,0.0036822327604681547,5000,True,112.75751097127795
uav,0,Severe,12.449478195019829,PSO,10,250,0,21002000,-1866.5028362955595,0.0,1.0,False,1.0001070105850103,250,True,1.1874529882334173
uav,0,Severe,12.449478195019829,PSO,10,250,1,21002001,-1866.5028362955595,0.0,1.0,False,1.0001070105850103,250,True,1.1642980389297009
uav,0,Severe,12.449478195019829,PSO,10,250,2,21002002,-1866.5028362955595,-1401.5485560276338,0.2491045131175469,False,0.6731325533366728,250,True,1.1765050003305078
uav,0,Severe,12.449478195019829,PSO,10,250,3,21002003,-1866.5028362955595,-276.5267185558672,0.8518476837117008,False,1.267510137839546,250,True,1.1650160304270685
uav,0,Severe,12.449478195019829,PSO,10,250,4,21002004,-1866.5028362955595,-26.685563623819235,0.9857029075419023,False,0.990051970606503,250,True,1.1665159836411476
uav,0,Severe,12.449478195019829,PSO,10,250,5,21002005,-1866.5028362955595,-1229.0363961659232,0.3415298534422875,False,0.6084445353645779,250,True,1.1645579943433404
uav,0,Severe,12.449478195019829,PSO,10,250,6,21002006,-1866.5028362955595,-812.4003389647239,0.5647473321942058,False,0.9736311109587603,250,True,1.1817420017905533
uav,0,Severe,12.449478195019829,PSO,10,250,7,21002007,-1866.5028362955595,-687.6345532845992,0.631592012659705,False,1.1026917040010342,250,True,1.1616400443017483
uav,0,Severe,12.449478195019829,PSO,10,250,8,21002008,-1866.5028362955595,-971.5770328344697,0.4794666185652551,False,1.0095246953487866,250,True,1.1686609941534698
uav,0,Severe,12.449478195019829,PSO,10,250,9,21002009,-1866.5028362955595,-842.736193670043,0.5484945550135792,False,0.8989359422236423,250,True,1.177534053567797
uav,0,Severe,12.449478195019829,PSO,10,250,10,21002010,-1866.5028362955595,-1037.1818118655176,0.44431811637425206,False,0.9953207871915996,250,True,1.1642009485512972
uav,0,Severe,12.449478195019829,PSO,10,250,11,21002011,-1866.5028362955595,0.0,1.0,False,1.0001070105850103,250,True,1.1736000305972993
uav,0,Severe,12.449478195019829,PSO,10,250,12,21002012,-1866.5028362955595,-543.6381499428754,0.7087397139873456,False,1.3464557285121532,250,True,1.1449200101196766
uav,0,Severe,12.449478195019829,PSO,10,250,13,21002013,-1866.5028362955595,0.0,1.0,False,1.0001070105850103,250,True,1.1260930332355201
uav,0,Severe,12.449478195019829,PSO,10,250,14,21002014,-1866.5028362955595,0.0,1.0,False,1.0001070105850103,250,True,1.137813029345125
uav,0,Severe,12.449478195019829,PSO,10,250,15,21002015,-1866.5028362955595,0.0,1.0,False,1.0001070105850103,250,True,1.1386540136300027
uav,0,Severe,12.449478195019829,PSO,10,250,16,21002016,-1866.5028362955595,-337.50725067085386,0.8191766740945847,False,0.9908580232472373,250,True,1.138043007813394
uav,0,Severe,12.449478195019829,PSO,10,250,17,21002017,-1866.5028362955595,-1057.3975425352166,0.43348731007886965,False,0.9676965958475436,250,True,1.167328970041126
uav,0,Severe,12.449478195019829,PSO,10,250,18,21002018,-1866.5028362955595,-697.8653062058218,0.6261107710980648,False,0.9964532291182443,250,True,1.174951030407101
uav,0,Severe,12.449478195019829,PSO,10,250,19,21002019,-1866.5028362955595,0.0,1.0,False,1.0001070105850103,250,True,1.16624595830217
uav,0,Severe,12.449478195019829,PSO,10,250,20,21002020,-1866.5028362955595,-1012.4397336517243,0.4575739645479943,False,0.9874823361780514,250,True,1.1718249879777431
uav,0,Severe,12.449478195019829,PSO,10,250,21,21002021,-1866.5028362955595,-5.136069874781242,0.9972482924885478,False,0.837009898706223,250,True,1.1451640166342258
uav,0,Severe,12.449478195019829,PSO,10,250,22,21002022,-1866.5028362955595,0.0,1.0,False,1.0001070105850103,250,True,1.1339810444042087
uav,0,Severe,12.449478195019829,PSO,10,250,23,21002023,-1866.5028362955595,0.0,1.0,False,1.0001070105850103,250,True,1.1340859928168356
uav,0,Severe,12.449478195019829,PSO,10,250,24,21002024,-1866.5028362955595,0.0,1.0,False,1.0001070105850103,250,True,1.1303399805910885
uav,0,Severe,12.449478195019829,PSO,10,250,25,21002025,-1866.5028362955595,-844.7474841984993,0.5474169833703194,False,1.0044059680211206,250,True,1.1583830346353352
uav,0,Severe,12.449478195019829,PSO,10,250,26,21002026,-1866.5028362955595,0.0,1.0,False,1.0001070105850103,250,True,1.1647729552350938
uav,0,Severe,12.449478195019829,PSO,10,250,27,21002027,-1866.5028362955595,-370.40552638587644,0.80155105088347,False,1.0016003323942648,250,True,1.1609230423346162
uav,0,Severe,12.449478195019829,PSO,10,250,28,21002028,-1866.5028362955595,0.0,1.0,False,1.0001070105850103,250,True,1.1578210396692157
uav,0,Severe,12.449478195019829,PSO,10,250,29,21002029,-1866.5028362955595,0.0,1.0,False,1.0001070105850103,250,True,1.1354020098224282
uav,0,Severe,12.449478195019829,PSO,10,500,0,21002000,-1866.5028362955595,-1739.207882462829,0.06819971090179121,False,0.057541052598167435,500,True,2.1929480135440826
uav,0,Severe,12.449478195019829,PSO,10,500,1,21002001,-1866.5028362955595,-1770.3839924610606,0.05149675744681189,False,0.05203273348608923,500,True,2.210160018876195
uav,0,Severe,12.449478195019829,PSO,10,500,2,21002002,-1866.5028362955595,-1180.9724812416337,0.36728063934501975,False,0.9301667030755586,500,True,2.2069719852879643
uav,0,Severe,12.449478195019829,PSO,10,500,3,21002003,-1866.5028362955595,-1825.527301990893,0.0219531058340048,False,0.027396840217353034,500,True,2.2114269668236375
uav,0,Severe,12.449478195019829,PSO,10,500,4,21002004,-1866.5028362955595,-1481.4051389616952,0.2063204458334315,False,0.06920513426120742,500,True,2.1941940067335963
uav,0,Severe,12.449478195019829,PSO,10,500,5,21002005,-1866.5028362955595,-1860.1067396369604,0.0034267811086177986,False,0.011215957543958896,500,True,2.1884010056965053
uav,0,Severe,12.449478195019829,PSO,10,500,6,21002006,-1866.5028362955595,-1854.7849358988055,0.0062779976375553995,False,0.03111131037929353,500,True,2.268318028654903
uav,0,Severe,12.449478195019829,PSO,10,500,7,21002007,-1866.5028362955595,-1140.8167727139255,0.38879451424885064,False,0.9369901824753634,500,True,2.2476710146293044
uav,0,Severe,12.449478195019829,PSO,10,500,8,21002008,-1866.5028362955595,-1411.5690642838033,0.24373591251254748,False,0.5880884507112611,500,True,2.2034309804439545
uav,0,Severe,12.449478195019829,PSO,10,500,9,21002009,-1866.5028362955595,-1860.709319817818,0.003103941963056415,False,0.00770281076885603,500,True,2.199960988946259
uav,0,Severe,12.449478195019829,PSO,10,500,10,21002010,-1866.5028362955595,-1788.9636651884837,0.041542487693706116,False,0.21460813217093314,500,True,2.1991129615344107
uav,0,Severe,12.449478195019829,PSO,10,500,11,21002011,-1866.5028362955595,-1857.9899958055942,0.004560850551323434,False,0.013655543823258346,500,True,2.2001639590598643
uav,0,Severe,12.449478195019829,PSO,10,500,12,21002012,-1866.5028362955595,-1459.6270684027616,0.21798829339060777,False,0.5381248848040041,500,True,2.1794799831695855
uav,0,Severe,12.449478195019829,PSO,10,500,13,21002013,-1866.5028362955595,-1590.4395915957261,0.1479040049292049,False,0.3583484503657916,500,True,2.1854329970665276
uav,0,Severe,12.449478195019829,PSO,10,500,14,21002014,-1866.5028362955595,-1753.5464522266175,0.06051766001766497,False,0.027523616324211523,500,True,2.220650960225612
uav,0,Severe,12.449478195019829,PSO,10,500,15,21002015,-1866.5028362955595,-1661.9546630424825,0.10958899674593742,False,0.22867952949830253,500,True,2.261307032313198
uav,0,Severe,12.449478195019829,PSO,10,500,16,21002016,-1866.5028362955595,-1385.432393769626,0.25773892928055336,False,0.5490173858004344,500,True,2.198456961195916
uav,0,Severe,12.449478195019829,PSO,10,500,17,21002017,-1866.5028362955595,-1839.749319485381,0.01433349914606942,False,0.033559312309465156,500,True,2.1950480295345187
uav,0,Severe,12.449478195019829,PSO,10,500,18,21002018,-1866.5028362955595,-1851.6580046878994,0.007953286391529198,False,0.024558799678874636,500,True,2.1988109801895916
uav,0,Severe,12.449478195019829,PSO,10,500,19,21002019,-1866.5028362955595,-1456.5448835961183,0.21963960875252836,False,0.6269146984107996,500,True,2.1926279878243804
uav,0,Severe,12.449478195019829,PSO,10,500,20,21002020,-1866.5028362955595,-1767.6840794613047,0.05294326636565954,False,0.15733140959581446,500,True,2.2153249592520297
uav,0,Severe,12.449478195019829,PSO,10,500,21,21002021,-1866.5028362955595,-1396.0367420955197,0.2520575297564358,False,0.6804250736147477,500,True,2.1920669823884964
uav,0,Severe,12.449478195019829,PSO,10,500,22,21002022,-1866.5028362955595,-1408.7339128872654,0.2452548769316773,False,0.711962918334384,500,True,2.1947179920971394
uav,0,Severe,12.449478195019829,PSO,10,500,23,21002023,-1866.5028362955595,-1822.227121803503,0.023721214686140177,False,0.006601898311486753,500,True,2.19817302422598
uav,0,Severe,12.449478195019829,PSO,10,500,24,21002024,-1866.5028362955595,-1718.8514056349702,0.07910592354289292,False,0.33387417311292006,500,True,2.178192022256553
uav,0,Severe,12.449478195019829,PSO,10,500,25,21002025,-1866.5028362955595,-1762.438422383761,0.05575368646014743,False,0.07250152431336956,500,True,2.2070760023780167
uav,0,Severe,12.449478195019829,PSO,10,500,26,21002026,-1866.5028362955595,-1531.7483896549415,0.17934848001892337,False,0.48009972927001854,500,True,2.22239299910143
uav,0,Severe,12.449478195019829,PSO,10,500,27,21002027,-1866.5028362955595,-1802.027404991981,0.03454344137592773,False,0.05929454847217106,500,True,2.2587940329685807
uav,0,Severe,12.449478195019829,PSO,10,500,28,21002028,-1866.5028362955595,-1732.6014819457037,0.07173916468062236,False,0.29482406057982946,500,True,2.2487679962068796
uav,0,Severe,12.449478195019829,PSO,10,500,29,21002029,-1866.5028362955595,-1755.975050033445,0.059216511281321424,False,0.23958922983432465,500,True,2.2108390112407506
uav,0,Severe,12.449478195019829,PSO,10,1000,0,21002000,-1866.5028362955595,-1866.5007166184123,1.1356409998430082e-06,True,0.00032952393491953065,1000,True,4.356147022917867
uav,0,Severe,12.449478195019829,PSO,10,1000,1,21002001,-1866.5028362955595,-1866.5021248063754,3.8118837555756973e-07,True,0.00015388767515989575,1000,True,4.453716974239796
uav,0,Severe,12.449478195019829,PSO,10,1000,2,21002002,-1866.5028362955595,-1866.5027940294485,2.2644546889090396e-08,True,2.262170718537261e-05,1000,True,4.471938009373844
uav,0,Severe,12.449478195019829,PSO,10,1000,3,21002003,-1866.5028362955595,-1866.4921372522244,5.732133446051736e-06,True,0.000605400609531244,1000,True,4.467731982003897
uav,0,Severe,12.449478195019829,PSO,10,1000,4,21002004,-1866.5028362955595,-1866.499539922802,1.7660689785898816e-06,True,0.00044808427747803747,1000,True,4.495369968935847
uav,0,Severe,12.449478195019829,PSO,10,1000,5,21002005,-1866.5028362955595,-1866.4860934166638,8.970186688231113e-06,True,0.0010106049415086465,1000,True,4.414641996845603
uav,0,Severe,12.449478195019829,PSO,10,1000,6,21002006,-1866.5028362955595,-1866.4280493139793,4.006797103436253e-05,True,0.00022426973022011336,1000,True,4.406851017847657
uav,0,Severe,12.449478195019829,PSO,10,1000,7,21002007,-1866.5028362955595,-1866.4575858240532,2.424345177856098e-05,True,0.00010747934748077605,1000,True,4.348591959569603
uav,0,Severe,12.449478195019829,PSO,10,1000,8,21002008,-1866.5028362955595,-1866.499615519131,1.7255673904031893e-06,True,0.0003438648252772161,1000,True,4.3516409932635725
uav,0,Severe,12.449478195019829,PSO,10,1000,9,21002009,-1866.5028362955595,-1866.4847424083234,9.694004683112104e-06,True,0.0008076620628645879,1000,True,4.331598000135273
uav,0,Severe,12.449478195019829,PSO,10,1000,10,21002010,-1866.5028362955595,-1866.4960804762738,3.619506573630773e-06,True,0.0006742472354524947,1000,True,4.3762350105680525
uav,0,Severe,12.449478195019829,PSO,10,1000,11,21002011,-1866.5028362955595,-1861.2958572985335,0.0027896978754986886,False,0.015813970685994508,1000,True,4.338992002885789
uav,0,Severe,12.449478195019829,PSO,10,1000,12,21002012,-1866.5028362955595,-1862.444054275776,0.0021745383617198617,False,0.0076112575643115625,1000,True,4.400960984639823
uav,0,Severe,12.449478195019829,PSO,10,1000,13,21002013,-1866.5028362955595,-1866.4537451337214,2.6301145052374444e-05,True,0.0019982466358607234,1000,True,4.425510996952653
uav,0,Severe,12.449478195019829,PSO,10,1000,14,21002014,-1866.5028362955595,-1866.4966682341694,3.304608635013211e-06,True,0.00030508736204333813,1000,True,4.394887015223503
