system,alg,start,n,start_gap_median,start_gap_p90,frac_start_within_1e4,incumbent_return_rate,improvement_median,final_gap_median,conv_rate
pendcart,WOA,optimizer_warm,900,3.3974880461399085e-05,0.05077864067914297,0.5111111111111111,0.0,0.9999999999104485,3.923592136953479e-15,1.0
pendcart,WOA,reference_warm,900,3.397167409120369e-05,0.0507781423440105,0.5111111111111111,0.0,0.9999999999043356,3.503274059735162e-15,1.0
uav,GWO,cold,1120,7.050865678074475e-06,1.0,0.5535714285714286,0.0,0.9995743197244771,3.0561574083839238e-09,0.7348214285714286
uav,GWO,optimizer_warm,1120,1.5346030847934622e-06,0.17585653397235937,0.5392857142857143,0.0017857142857142857,0.9990936789775925,3.0453925199741812e-09,0.7321428571428571
uav,GWO,reference_warm,1120,3.2752265220165043e-07,0.1720137626274683,0.5535714285714286,0.013392857142857142,0.996575414250046,4.0352075856447266e-09,0.7571428571428571
uav,PSO,cold,1120,7.050865678074475e-06,1.0,0.5535714285714286,0.5491071428571429,0.0,4.670921871680975e-06,0.5821428571428572
uav,PSO,optimizer_warm,1120,0.0347426783054262,75.60759756947014,0.0,0.0625,0.755962756310453,0.00460798993790595,0.026785714285714284
uav,PSO,reference_warm,1120,3.2752265220165043e-07,0.1720137626274683,0.5535714285714286,0.5705357142857143,4.0130774352618914e-08,1.43373154067733e-07,0.5830357142857143
uav,SGO,cold,1120,7.050865678074475e-06,1.0,0.5535714285714286,0.5508928571428572,0.0,7.050865678074475e-06,0.5553571428571429
uav,SGO,optimizer_warm,1120,0.0021888964510979,0.34665799385612195,0.01607142857142857,0.13125,0.7708854426715601,0.0005553959523038,0.0875
uav,SGO,reference_warm,1120,3.2752265220165043e-07,0.1720137626274683,0.5535714285714286,0.6017857142857143,2.9373677269534713e-08,3.2752265218139364e-07,0.5625
uav,WOA,cold,1120,7.050865678074475e-06,1.0,0.5535714285714286,0.0,0.9786541707157984,4.08370942150284e-08,0.65
uav,WOA,optimizer_warm,1120,0.0002760297162121,1.3904808842440792,0.4875,0.0,0.9708252567165758,4.881189412708104e-07,0.5848214285714286
uav,WOA,reference_warm,1120,3.2752265220165043e-07,0.1720137626274683,0.5535714285714286,0.0,0.9809191438138223,4.913333419285679e-09,0.7866071428571428
