system,stratum,alg,start,n,instances,start_gap_median,final_gap_median,final_gap_iqr,conv_rate,trivial_start_rate,incumbent_return_rate,improvement_median,first_ctrl_err_median,time_ms_median,fe_exact
hvac,Benign,PSO,reference_warm,640,32,7.52605411775964e-08,5.816378297794654e-10,4.70303240535791e-09,1.0,0.96875,0.128125,0.9583445928469282,0.00027156607011442896,4.771031497512013,True
hvac,Benign,SGO,cold,640,32,0.029149533538306273,0.00014804416463144038,0.0003691107859820448,0.403125,0.0,0.0,0.9966385185376734,0.12840765582620978,12.404091001371853,True
hvac,Benign,SGO,optimizer_warm,640,32,1.2190334311150408e-05,9.75242396267749e-06,5.8230667081294734e-05,0.796875,0.746875,0.8375,0.0,0.031524861299474724,12.347934985882603,True
hvac,Benign,SGO,reference_warm,640,32,7.52605411775964e-08,2.979337801987947e-08,7.2442836790614124e-06,1.0,0.96875,0.9390625,0.0,0.0016777319563891795,12.38113598083146,True
hvac,Benign,WOA,cold,640,32,0.029149533538306273,5.2998051647497324e-05,0.0001965297756868706,0.6375,0.0,0.0,0.9987180317278104,0.07657277370185737,8.199450996471569,True
hvac,Benign,WOA,optimizer_warm,640,32,9.675901426441091e-08,3.5507070807877517e-09,5.772040181494659e-07,1.0,0.9609375,0.03125,0.8195144007394362,0.0005934473794256523,8.197744507924654,True
hvac,Benign,WOA,reference_warm,640,32,7.52605411775964e-08,2.555449723357084e-10,1.917003934000788e-07,1.0,0.96875,0.03125,0.9657902673199666,0.00017005687364568902,8.181515513570048,True
pendcart,Benign,GWO,cold,480,24,4.481596807238325e-06,4.618974846430212e-14,1.5642140487485018e-12,1.0,0.75,0.0,0.9999999755809559,6.031390431158416e-07,35.193676987546496,True
pendcart,Benign,GWO,optimizer_warm,480,24,6.233672963135961e-07,6.524224022375703e-14,2.142044836297302e-12,1.0,0.9166666666666666,0.0,0.9999997172708067,7.167135515310109e-07,35.2558059967123,True
pendcart,Benign,GWO,reference_warm,480,24,6.22028214400715e-07,5.653744599630429e-14,2.370832019415095e-12,1.0,0.9166666666666666,0.0,0.9999996974311042,6.672679471212903e-07,35.27163948456291,True
pendcart,Benign,PSO,cold,480,24,4.481596807238325e-06,6.1584592369475925e-09,3.0481735245670934e-08,1.0,0.75,0.09791666666666667,0.998604594755219,0.0002202292133470212,25.41335749265272,True
pendcart,Benign,PSO,optimizer_warm,480,24,4.953338383710292e-07,4.344620512031246e-09,1.9540504562037618e-08,1.0,0.9270833333333334,0.1875,0.9895483440770767,0.00018495125680147422,25.472836001426913,True
pendcart,Benign,PSO,reference_warm,480,24,6.22028214400715e-07,3.435456976509256e-09,1.9532980333038287e-08,1.0,0.9166666666666666,0.15,0.9845927489677346,0.0001644903648798067,25.454212998738512,True
pendcart,Benign,SGO,cold,480,24,4.481596807238325e-06,9.613029787115128e-12,2.0428239541244514e-10,1.0,0.75,0.0,0.9999969595272307,8.701210465176384e-06,41.38352000154555,True
pendcart,Benign,SGO,optimizer_warm,480,24,5.01006186753818e-07,7.28772248365121e-12,1.95586912656344e-10,1.0,0.9166666666666666,0.008333333333333333,0.9999769125123589,7.575878148847592e-06,41.593982503400184,True
pendcart,Benign,SGO,reference_warm,480,24,6.22028214400715e-07,6.817354992678715e-12,2.9170205288200186e-10,1.0,0.9166666666666666,0.008333333333333333,0.9999708049128233,7.3271801579866255e-06,41.56861899537034,True
pendcart,Benign,WOA,cold,480,24,4.481596807238325e-06,1.3947489354950625e-17,6.509845434526913e-16,1.0,0.75,0.0,0.9999999999959291,1.0481809167264995e-08,33.44696600106545,True
pendcart,Benign,WOA,optimizer_warm,480,24,6.221188812196294e-07,2.6010052469574614e-17,9.391601548901693e-16,1.0,0.9166666666666666,0.0,0.9999999998975295,1.431279883371342e-08,33.29867201682646,True
pendcart,Benign,WOA,reference_warm,480,24,6.22028214400715e-07,2.9920591828810905e-17,9.939673820375894e-16,1.0,0.9166666666666666,0.0,0.9999999998847274,1.5352123744136192e-08,33.385387490852736,True
pendcart,High,GWO,cold,180,9,1.0,7.306013651840475e-09,4.01668930677604e-08,1.0,0.0,0.0,0.9999999801879919,0.0002787289434664775,35.32675998576451,True
pendcart,High,GWO,optimizer_warm,180,9,0.05073776455953713,9.245159280806229e-09,5.631227685284413e-08,1.0,0.0,0.0,0.9999998772656687,0.0003038098260459421,35.326716999406926,True
pendcart,High,GWO,reference_warm,180,9,0.050778142344010506,8.364920425588508e-09,5.114513085260144e-08,1.0,0.0,0.0,0.9999998352653319,0.0003146413203363174,35.365927004022524,True
pendcart,High,PSO,cold,180,9,1.0,3.2747702332511733e-09,1.6447544807667908e-08,1.0,0.0,0.0,0.9999999919049198,0.00019853555291149405,25.48909700999502,True
pendcart,High,PSO,optimizer_warm,180,9,0.05007840403583319,1.936890536846647e-09,1.9128485368256554e-08,1.0,0.0,0.0,0.9999999617394099,0.00014754859774912532,25.605071525205858,True
pendcart,High,PSO,reference_warm,180,9,0.050778142344010506,3.0209779868965846e-09,1.577628242052593e-08,1.0,0.0,0.0,0.9999999109358104,0.00019444085657793764,25.602063498809002,True
pendcart,High,SGO,cold,180,9,1.0,5.977820214583736e-07,2.8451064136900425e-06,0.9944444444444445,0.0,0.0,0.9999983848587468,0.0024063858777749747,41.478178987745196,True
