system,k,Nc,P,J_zero,J_hold,J_abs_diff,J_rel_diff,U_inf_diff,U_norm_diff,first_control_diff,first_control_diff_rel_range,osqp_status_zero,osqp_status_hold,lbfgsb_rel_zero,lbfgsb_rel_hold,spread_zero,spread_hold,worst_cart_zero,worst_cart_hold,n_active_zero,n_active_hold
pendcart,62,1,20,-9.323358054645783e-06,-569.457613695261,569.4576043719029,569.4576043719029,4.991430875731161,4.991430875731161,4.991430875731161,0.4991430875731161,solved,solved,3.172985420414609e-18,1.996405614526638e-16,5.082197683525802e-21,0.0,2.8720518426245394,3.649396440596472,0,1
pendcart,68,1,20,-0.0005288740791927941,-569.3082190152156,569.3076901411364,569.3076901411364,4.935460380524394,4.935460380524394,4.935460380524394,0.4935460380524394,solved,solved,1.0842021724855044e-19,1.9969295001268474e-16,3.144186300207963e-18,0.0,2.867677916968402,3.64474460281437,0,1
pendcart,74,1,20,-2.3676176849229332e-06,-568.51285249672,568.5128501291024,568.5128501291024,5.0043182327519276,5.0043182327519276,5.0043182327519276,0.5004318232751928,solved,solved,3.0611770713770414e-18,1.9997232643438248e-16,2.439454888092385e-19,0.0,2.873028697126565,3.6516293743720323,0,1
pendcart,80,1,20,-0.00024728442932552057,-568.4316419047752,568.4313946203459,568.4313946203459,5.044131495516809,5.044131495516809,5.044131495516809,0.5044131495516809,solved,solved,9.75781955236954e-19,2.0000089604558127e-16,2.3310346708438345e-18,0.0,2.8744150027570767,3.6534752225226037,0,1
pendcart,86,1,20,-4.497054917025358e-05,-568.8773398670166,568.8772948964674,568.8772948964674,5.018819771881027,5.018819771881027,5.018819771881027,0.5018819771881027,solved,solved,3.5236570605778894e-19,1.998442014726619e-16,2.825701912040346e-18,0.0,2.870350097388705,3.648765265052102,0,1
pendcart,93,1,20,-4.562431677679379e-05,-569.1533484730492,569.1533028487324,569.1533028487324,4.981043923776127,4.981043923776127,4.981043923776127,0.4981043923776127,solved,solved,6.776263578034403e-21,1.997472878383661e-16,3.415236843329339e-18,0.0,2.866301486391047,3.644218548198708,0,1
pendcart,99,1,20,-4.203155099631429e-05,-569.0208807056266,569.0208386740757,569.0208386740757,4.981805590402872,4.981805590402872,4.981805590402872,0.4981805590402872,solved,solved,5.082197683525802e-19,0.0,2.676624113323589e-18,0.0,2.8663650380844565,3.6445323500739293,0,1
pendcart,105,1,20,-7.961273093257132e-07,-568.8518994212192,568.8518986250918,568.8518986250918,4.997495958511774,4.997495958511774,4.997495958511774,0.4997495958511774,solved,solved,2.818713890225498e-18,0.0,3.5829493668856904e-19,0.0,2.867638888698692,3.646178163952924,0,1
pendcart,111,1,20,-2.9169829292042315e-06,-568.8283652486211,568.8283623316382,568.8283623316382,5.00479310787172,5.00479310787172,5.00479310787172,0.500479310787172,solved,solved,1.3637230450794235e-19,1.9986140753006623e-16,3.358909152336928e-18,0.0,2.868024128191645,3.6466714944488627,0,1
pendcart,117,1,20,-1.753993943902803e-07,-568.8878673630428,568.8878671876435,568.8878671876435,5.001175342134525,5.001175342134525,5.001175342134525,0.5001175342134525,solved,solved,1.7133094242790343e-18,1.99840503276308e-16,1.4609465455564562e-18,0.0,2.8675326324487727,3.6460962676610187,0,1
pendcart,124,1,20,-1.6067740060482156e-06,-568.9142792887982,568.9142776820241,568.9142776820241,4.996442641305911,4.996442641305911,4.996442641305911,0.49964426413059104,solved,solved,2.117582368135751e-22,1.9983122565272288e-16,3.1746794863091177e-18,0.0,2.8671237673308787,3.645633715747984,0,1
pendcart,130,1,20,-8.037825142993704e-07,-568.8858029032342,568.8858020994517,568.8858020994517,4.997483948440752,4.997483948440752,4.997483948440752,0.4997483948440752,solved,solved,3.086376301557857e-19,1.9984122848809047e-16,2.8658300979165184e-18,0.0,2.867280300770373,3.645839246168916,0,1
pendcart,136,1,20,-2.6197554733366224e-09,-568.860139816693,568.8601398140732,568.8601398140732,5.000143641733475,5.000143641733475,5.000143641733475,0.5000143641733474,solved,solved,3.532888396213981e-21,1.998502439602289e-16,3.17071605040407e-18,0.0,2.867535491041739,3.646147124239496,0,1
pendcart,142,1,20,-1.37305986489073e-07,-568.8599273129413,568.8599271756353,568.8599271756353,5.001039908186044,5.001039908186044,5.001039908186044,0.5001039908186045,solved,solved,2.0601429464000686e-19,0.0,2.9682681449750854e-18,0.0,2.86759964965841,3.646217458696789,0,1
pendcart,149,1,20,-1.7136419634474559e-09,-568.8721578177216,568.872157816008,568.872157816008,5.000116174364017,5.000116174364017,5.000116174364017,0.5000116174364017,solved,solved,1.595153704811041e-19,1.998460219212269e-16,3.0147240557421354e-18,0.0,2.867511226619232,3.6461064078786727,0,1
cstr,0,1,20,-3404.760030526873,-4055.970821001106,651.2107904742329,0.1912648129781589,0.7916606084322377,0.7916606084322377,0.7916606084322377,0.39583030421611887,solved,solved,0.0,2.242360070895294e-16,0.0,1.3642420526593924e-12,,,2,1
cstr,4,1,20,-11.547356328699887,-51.03658096278498,39.48922463408509,3.4197632349785785,0.07813252704775936,0.07813252704775936,0.07813252704775936,0.03906626352387968,solved,solved,6.15329358109537e-16,2.506000402536347e-15,5.329070518200751e-15,5.535121141627712,,,1,1
cstr,8,1,20,-2.778479680084029,-8.156489315501485,5.378009635417456,1.9355943734146042,0.024647202465277303,0.024647202465277303,0.024647202465277303,0.012323601232638651,solved,solved,4.155624940813832e-15,1.289284161662992e-13,8.881784197001252e-16,3.1291079753179796,,,1,1
cstr,12,1,20,-0.6075581528520424,-0.747403265793305,0.13984511294126256,0.13984511294126256,0.4187133449630752,0.4191240464559171,0.4191240464559171,0.20956202322795855,solved,solved,1.1546319456101628e-14,3.674394122299418e-12,3.3306690738754696e-16,1.2256906600782713e-10,,,1,0
cstr,16,1,20,-0.0009651201101463249,-0.00044323347722256975,0.0005218866329237551,0.0005218866329237551,0.1108850105823291,0.11094176141408563,0.11094176141408563,0.05547088070704281,solved,solved,7.538479389335162e-14,3.9176993246736735e-11,2.0557991073366644e-14,8.561289199272848e-11,,,0,0
cstr,20,1,20,-9.17979264263159e-11,-4.215839423428356e-11,4.963953219203234e-11,4.963953219203234e-11,3.419783361707292e-05,3.421533603322493e-05,3.421533603322493e-05,1.7107668016612466e-05,solved,solved,6.772705716331713e-14,3.2915001585014755e-12,3.845248750139377e-14,1.2149554438848145e-10,,,0,0
cstr,24,1,20,-8.731409852732608e-18,-4.009918667775372e-18,4.721491184957236e-18,4.721491184957236e-18,1.0546888275765184e-08,1.0552286162327291e-08,1.0552286162327291e-08,5.2761430811636454e-09,solved,solved,8.731409852732608e-18,4.009918667775372e-18,9.580783963711536e-14,1.2478706352859318e-10,,,0,0
