system,condition,alg,trial,seed,nrmse,reference_nrmse,realized_nfe_mean,fe_exact,time_ms_mean
hvac,process_disturbance,WOA,8,16013008,0.03831852709976325,0.03636963376125622,1000.0,True,7.716909687733278
hvac,process_disturbance,WOA,9,16013009,0.04520009718020918,0.03636963376125622,1000.0,True,7.536619529710151
hvac,measurement_noise,SGO,0,16020000,0.04008637605058254,0.04010683502094508,1000.0,True,11.532895910931984
hvac,measurement_noise,SGO,1,16020001,0.04009996413624428,0.04010683502094508,1000.0,True,11.584891784004867
hvac,measurement_noise,SGO,2,16020002,0.04006445137560002,0.04010683502094508,1000.0,True,11.553609596012393
hvac,measurement_noise,SGO,3,16020003,0.04010058625759261,0.04010683502094508,1000.0,True,11.513022700964939
hvac,measurement_noise,SGO,4,16020004,0.04011465897294962,0.04010683502094508,1000.0,True,11.630086205841508
hvac,measurement_noise,SGO,5,16020005,0.04011473511653706,0.04010683502094508,1000.0,True,11.611284501559567
hvac,measurement_noise,SGO,6,16020006,0.04012308184532398,0.04010683502094508,1000.0,True,11.517298393591773
hvac,measurement_noise,SGO,7,16020007,0.0401448339261132,0.04010683502094508,1000.0,True,11.619579224352492
hvac,measurement_noise,SGO,8,16020008,0.04011608186253246,0.04010683502094508,1000.0,True,11.460820053034695
hvac,measurement_noise,SGO,9,16020009,0.04011054302840603,0.04010683502094508,1000.0,True,11.836251460481435
hvac,measurement_noise,GWO,0,16021000,0.04010751600864306,0.04010683502094508,1000.0,True,17.159866305446485
hvac,measurement_noise,GWO,1,16021001,0.0401120588498835,0.04010683502094508,1000.0,True,17.331462193687912
hvac,measurement_noise,GWO,2,16021002,0.040119051523262304,0.04010683502094508,1000.0,True,17.170420804759488
hvac,measurement_noise,GWO,3,16021003,0.04010684275376712,0.04010683502094508,1000.0,True,16.995180812227773
hvac,measurement_noise,GWO,4,16021004,0.040081506032332466,0.04010683502094508,1000.0,True,16.812905412662076
hvac,measurement_noise,GWO,5,16021005,0.04007119043134281,0.04010683502094508,1000.0,True,16.78925176820485
hvac,measurement_noise,GWO,6,16021006,0.04009768571883809,0.04010683502094508,1000.0,True,16.78380193436169
hvac,measurement_noise,GWO,7,16021007,0.04009045685708575,0.04010683502094508,1000.0,True,16.76639308963786
hvac,measurement_noise,GWO,8,16021008,0.04010572788669363,0.04010683502094508,1000.0,True,17.351512028690195
hvac,measurement_noise,GWO,9,16021009,0.04013283691308056,0.04010683502094508,1000.0,True,17.234054586442653
hvac,measurement_noise,PSO,0,16022000,0.04008398623625132,0.04010683502094508,1000.0,True,4.462186995369848
hvac,measurement_noise,PSO,1,16022001,0.04003599230475914,0.04010683502094508,1000.0,True,4.456444865645608
hvac,measurement_noise,PSO,2,16022002,0.040047539553640245,0.04010683502094508,1000.0,True,4.466154794499744
hvac,measurement_noise,PSO,3,16022003,0.04002914485711776,0.04010683502094508,1000.0,True,4.454284419916803
hvac,measurement_noise,PSO,4,16022004,0.04004199243690812,0.04010683502094508,1000.0,True,4.56561308412347
hvac,measurement_noise,PSO,5,16022005,0.04002467915664005,0.04010683502094508,1000.0,True,4.645321376883658
hvac,measurement_noise,PSO,6,16022006,0.040041284496442266,0.04010683502094508,1000.0,True,4.492752007063245
hvac,measurement_noise,PSO,7,16022007,0.04003357408259873,0.04010683502094508,1000.0,True,4.651592506415909
hvac,measurement_noise,PSO,8,16022008,0.04001615501069937,0.04010683502094508,1000.0,True,4.515201212634565
hvac,measurement_noise,PSO,9,16022009,0.040040649915240804,0.04010683502094508,1000.0,True,4.737890580581734
hvac,measurement_noise,WOA,0,16023000,0.040120764712614464,0.04010683502094508,1000.0,True,7.623992909793742
hvac,measurement_noise,WOA,1,16023001,0.040088311923264855,0.04010683502094508,1000.0,True,7.575243857281748
hvac,measurement_noise,WOA,2,16023002,0.04011192959131168,0.04010683502094508,1000.0,True,7.484401526889997
hvac,measurement_noise,WOA,3,16023003,0.040067685544381844,0.04010683502094508,1000.0,True,7.679105605056975
hvac,measurement_noise,WOA,4,16023004,0.04012445132081662,0.04010683502094508,1000.0,True,7.78173736325698
hvac,measurement_noise,WOA,5,16023005,0.040082401222793905,0.04010683502094508,1000.0,True,7.6055514681502245
hvac,measurement_noise,WOA,6,16023006,0.04007971714279462,0.04010683502094508,1000.0,True,7.5254726721323095
hvac,measurement_noise,WOA,7,16023007,0.04010589235116203,0.04010683502094508,1000.0,True,7.651910134300124
hvac,measurement_noise,WOA,8,16023008,0.04009402340256382,0.04010683502094508,1000.0,True,7.530272219592007
hvac,measurement_noise,WOA,9,16023009,0.04011911458563581,0.04010683502094508,1000.0,True,7.7083020201826
hvac,reference_event,SGO,0,16030000,0.041264889748612484,0.0412631911061791,1000.0,True,11.744783886242658
hvac,reference_event,SGO,1,16030001,0.04126779667647653,0.0412631911061791,1000.0,True,12.227625535451807
hvac,reference_event,SGO,2,16030002,0.04127611966152965,0.0412631911061791,1000.0,True,11.462097153125796
hvac,reference_event,SGO,3,16030003,0.04126951598373072,0.0412631911061791,1000.0,True,11.531882796552964
hvac,reference_event,SGO,4,16030004,0.04126802090196404,0.0412631911061791,1000.0,True,11.362896857754095
hvac,reference_event,SGO,5,16030005,0.04127089642549831,0.0412631911061791,1000.0,True,11.34716815140564
hvac,reference_event,SGO,6,16030006,0.041269007376929075,0.0412631911061791,1000.0,True,11.313956457015593
hvac,reference_event,SGO,7,16030007,0.041262282779694154,0.0412631911061791,1000.0,True,11.262354128848528
hvac,reference_event,SGO,8,16030008,0.041268373089776156,0.0412631911061791,1000.0,True,11.341498345864238
hvac,reference_event,SGO,9,16030009,0.041273546984500635,0.0412631911061791,1000.0,True,11.351502680627163
hvac,reference_event,GWO,0,16031000,0.04126665784876088,0.0412631911061791,1000.0,True,16.959700123697985
hvac,reference_event,GWO,1,16031001,0.04126428388458747,0.0412631911061791,1000.0,True,17.041614918707637
hvac,reference_event,GWO,2,16031002,0.041266925608609804,0.0412631911061791,1000.0,True,16.9777487180545
hvac,reference_event,GWO,3,16031003,0.041263714545751895,0.0412631911061791,1000.0,True,17.253702695597894
hvac,reference_event,GWO,4,16031004,0.04126169936410967,0.0412631911061791,1000.0,True,17.164603876299225
hvac,reference_event,GWO,5,16031005,0.04126355958195845,0.0412631911061791,1000.0,True,16.939756077481434
hvac,reference_event,GWO,6,16031006,0.04126624374452328,0.0412631911061791,1000.0,True,17.029003792413278
hvac,reference_event,GWO,7,16031007,0.0412637890004725,0.0412631911061791,1000.0,True,17.371192930295365
hvac,reference_event,GWO,8,16031008,0.04126239046821103,0.0412631911061791,1000.0,True,17.566402328084223
hvac,reference_event,GWO,9,16031009,0.0412684574216344,0.0412631911061791,1000.0,True,17.28330174126313
hvac,reference_event,PSO,0,16032000,0.04125447165682283,0.0412631911061791,1000.0,True,4.485879596322775
hvac,reference_event,PSO,1,16032001,0.04125473169215762,0.0412631911061791,1000.0,True,4.548173954099184
hvac,reference_event,PSO,2,16032002,0.04126168227778417,0.0412631911061791,1000.0,True,4.509200590546243
hvac,reference_event,PSO,3,16032003,0.04126363583908055,0.0412631911061791,1000.0,True,4.538736278191209
hvac,reference_event,PSO,4,16032004,0.04124275389684817,0.0412631911061791,1000.0,True,4.672271351737436
hvac,reference_event,PSO,5,16032005,0.04125785971735881,0.0412631911061791,1000.0,True,4.59318512599566
hvac,reference_event,PSO,6,16032006,0.04123267496989289,0.0412631911061791,1000.0,True,4.513369570195209
hvac,reference_event,PSO,7,16032007,0.04125025382733744,0.0412631911061791,1000.0,True,4.469266579544637
hvac,reference_event,PSO,8,16032008,0.04125800144905029,0.0412631911061791,1000.0,True,4.474084582179785
hvac,reference_event,PSO,9,16032009,0.04124563120434759,0.0412631911061791,1000.0,True,4.481658609001897
hvac,reference_event,WOA,0,16033000,0.04126322843030036,0.0412631911061791,1000.0,True,7.645526245905785
hvac,reference_event,WOA,1,16033001,0.04126327655486081,0.0412631911061791,1000.0,True,7.728315269632731
hvac,reference_event,WOA,2,16033002,0.0412632297606701,0.0412631911061791,1000.0,True,7.668584099592408
hvac,reference_event,WOA,3,16033003,0.04126311657135636,0.0412631911061791,1000.0,True,7.719659199938178
