system,Nc,dim,role,k,alg,NP,trial,seed,J_star,J,norm_gap,converged_1e4,first_control_error,lambda_min,lambda_max,cond_H,n_active_reference,realized_fe,fe_exact,time_ms
cstr,5,10,mid_trajectory,50,PSO,8,13,16502013,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.587392031680793
cstr,5,10,mid_trajectory,50,PSO,8,14,16502014,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.5811100280843675
cstr,5,10,mid_trajectory,50,PSO,8,15,16502015,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.612232034560293
cstr,5,10,mid_trajectory,50,PSO,8,16,16502016,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.496256995480508
cstr,5,10,mid_trajectory,50,PSO,8,17,16502017,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.5374209876172245
cstr,5,10,mid_trajectory,50,PSO,8,18,16502018,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.5964199816808105
cstr,5,10,mid_trajectory,50,PSO,8,19,16502019,-1.389067642408316e-11,0.0,1.389067642408316e-11,True,1.1635065541696746e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,4.578443011268973
cstr,5,10,mid_trajectory,50,WOA,10,0,16503000,-1.389067642408316e-11,-2.5676957747559955e-12,1.1322980649327164e-11,True,1.1660777656696998e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.970382983330637
cstr,5,10,mid_trajectory,50,WOA,10,1,16503001,-1.389067642408316e-11,-1.8810937707175605e-12,1.20095826533656e-11,True,1.1647551176288403e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,8.009245968423784
cstr,5,10,mid_trajectory,50,WOA,10,2,16503002,-1.389067642408316e-11,-2.0025229733309183e-12,1.188815345075224e-11,True,1.1650821868653842e-05,0.021307568140349623,4471.608453623953,209860.10342288556,0,1000,True,7.9878169926814735
