check,system,alg,trial,submitted,phase2,abs_diff,rel_diff,material,step,nfe_submitted,nfe_phase2
closed_loop_nrmse,hvac,WOA,8.0,0.0207669188497259,0.020766918849725972,7.28583859910259e-17,3.508386897365256e-15,False,,,
closed_loop_nrmse,hvac,WOA,9.0,0.0207669019654545,0.020766901965454564,6.591949208711867e-17,3.1742573926903e-15,False,,,
closed_loop_nrmse,uav,SGO,0.0,0.0014843438733078,0.0014843438733078698,6.982261990806649e-17,4.703938296485815e-14,False,,,
closed_loop_nrmse,uav,SGO,1.0,0.0016305809264875,0.0016305809264875939,9.389190813724468e-17,5.758187564446802e-14,False,,,
closed_loop_nrmse,uav,SGO,2.0,0.0015283868629729,0.0015283868629729473,4.7271214720367993e-17,3.092882820807533e-14,False,,,
closed_loop_nrmse,uav,SGO,3.0,0.001660708349092,0.0016607083490920473,4.7271214720367993e-17,2.8464489111657536e-14,False,,,
closed_loop_nrmse,uav,SGO,4.0,0.0015452075547485,0.0015452075547485813,8.131516293641283e-17,5.262410391829064e-14,False,,,
closed_loop_nrmse,uav,SGO,5.0,0.001443592805045,0.0014435928050450001,2.168404344971009e-19,1.5020886342692841e-16,False,,,
closed_loop_nrmse,uav,SGO,6.0,0.0015016190350979,0.00150161903509797,6.982261990806649e-17,4.6498225099759945e-14,False,,,
closed_loop_nrmse,uav,SGO,7.0,0.0015192359352397,0.0015192359352397273,2.7321894746634712e-17,1.798397083223545e-14,False,,,
closed_loop_nrmse,uav,SGO,8.0,0.0015120601709112,0.001512060170911247,4.683753385137379e-17,3.097597222149465e-14,False,,,
closed_loop_nrmse,uav,SGO,9.0,0.0015594112312324,0.0015594112312324708,7.090682208055199e-17,4.547025227240056e-14,False,,,
closed_loop_nrmse,uav,GWO,0.0,0.0008688326270912,0.0008688326270912876,8.760353553682876e-17,1.0082901217708661e-13,False,,,
closed_loop_nrmse,uav,GWO,1.0,0.0008681041624363,0.0008681041624363336,3.361026734705064e-17,3.8716860028322816e-14,False,,,
closed_loop_nrmse,uav,GWO,2.0,0.0008693470558276,0.0008693470558276611,6.10405823109339e-17,7.021428542462199e-14,False,,,
closed_loop_nrmse,uav,GWO,3.0,0.0008685715590405,0.0008685715590405434,4.336808689942018e-17,4.993035570647553e-14,False,,,
closed_loop_nrmse,uav,GWO,4.0,0.0008690585557987,0.0008690585557987158,1.5829351718288365e-17,1.8214367274412885e-14,False,,,
closed_loop_nrmse,uav,GWO,5.0,0.0008696602614982,0.0008696602614982951,9.508453052697874e-17,1.0933525968310045e-13,False,,,
