family,case,quantity,comparison,n_pairs,median_fitness,median_random,mean_fitness,mean_random,sd_fitness,sd_random,iqr_fitness,iqr_random,median_diff,median_diff_ci_lo,median_diff_ci_hi,mean_diff,mean_diff_ci_lo,mean_diff_ci_hi,relative_median_diff,wilcoxon_stat,p_raw,cliffs_delta,delta_ci_lo,delta_ci_hi,favourable,p_holm,significant_holm
diagnostic_end-of-environment,F8,end-of-environment error,fitness vs random grouping,31,21.44462431296171,44.30319956850258,21.51890646558317,43.209146887849485,3.4372367809679707,15.232941912732729,3.4197773779402922,21.25498477346857,-19.437106263396146,-27.80721085724788,-13.857959558610759,-21.690240422266292,-27.270539903547704,-16.268596883085067,-0.43872917650884485,5.0,9.313225746154785e-09,-0.8980228928199792,-0.9771071800208116,-0.777315296566077,True,1.1175870895385742e-08,True
diagnostic_end-of-environment,F9,end-of-environment error,fitness vs random grouping,31,37.00850909643238,114.43918595572357,37.249418428881434,115.75552060621919,5.784998761465035,17.20616074304123,6.982355368802004,25.598225882537918,-76.80826240986727,-88.99509733393354,-70.11916439067151,-78.50610217733777,-84.15972815055974,-72.81381345004169,-0.6711709959172929,0.0,9.313225746154785e-10,-1.0,-1.0,-1.0,True,1.1175870895385742e-08,True
diagnostic_end-of-environment,F10,end-of-environment error,fitness vs random grouping,31,100.41861283521584,227.49426256997938,104.17922308726081,228.9943850846536,15.348156639973967,13.719850828925646,17.66640340563781,21.153013066121673,-126.50742818110969,-132.0431672123135,-121.26393248103365,-124.81516199739276,-130.03259798165672,-119.57048004746109,-0.5560906317019525,0.0,9.313225746154785e-10,-1.0,-1.0,-1.0,True,1.1175870895385742e-08,True
diagnostic_end-of-environment,F11,end-of-environment error,fitness vs random grouping,31,15.921926301110576,45.700646698228695,15.955649251873341,43.81691292808783,2.697416391022741,10.66395440684661,3.5077201251183894,16.427675075249034,-27.425341312866564,-34.73234808454921,-23.3825643593322,-27.861263676214495,-31.278008618499122,-24.353299753941073,-0.6001083856419375,0.0,9.313225746154785e-10,-0.991675338189386,-1.0,-0.9667013527575442,True,1.1175870895385742e-08,True
diagnostic_end-of-environment,F12,end-of-environment error,fitness vs random grouping,31,17.491438406413184,50.84329090557959,17.10235896017306,51.44183415114984,2.3768765227087325,9.555946734018962,3.2479517524437753,13.325018718684554,-33.52782725406992,-40.44853348643896,-30.374414381087128,-34.33947519097679,-37.349687073582494,-31.417137375010796,-0.6594346403802619,0.0,9.313225746154785e-10,-1.0,-1.0,-1.0,True,1.1175870895385742e-08,True
diagnostic_evaluation,F1,evaluation fraction to 90% recovery,fitness vs random grouping,31,0.10116494845360825,0.08076363636363636,0.09932694820602986,0.08152077124104774,0.03738453040232014,0.020808660639005407,0.041839195978297605,0.018796949082663356,0.018722091310751116,0.0025369408369408375,0.029058041085007383,0.01780617696498213,0.00289665175808671,0.03277991983329034,0.23181337732807553,136.0,0.02743559330701828,0.3194588969823101,0.026014568158168574,0.5858480749219563,True,0.08230677992105484,False
diagnostic_evaluation,F2,evaluation fraction to 90% recovery,fitness vs random grouping,31,0.10010707070707071,0.08534949494949495,0.09943920835929544,0.08640519214528429,0.0301404071636123,0.022300942496676343,0.041369302721088436,0.03056565656565656,0.015543434343434345,-0.005778127772848279,0.04218491032776747,0.013034016214011127,-0.0015059709772537113,0.026803334757584885,0.18211512971028215,154.0,0.06642110086977482,0.24869927159209157,-0.04266389177939646,0.5296566077003122,True,0.13284220173954964,False
diagnostic_evaluation,F3,evaluation fraction to 90% recovery,fitness vs random grouping,31,0.09989387755102042,0.0922060606060606,0.10127305107486066,0.09323792766373412,0.03307933667279161,0.01544161243771666,0.03361297805537927,0.020789898989898997,0.004398928056070908,-0.007572521129663987,0.021151262626262615,0.008035123411126548,-0.004266665021313627,0.020939958972466095,0.04770758046875903,194.0,0.2989572202786803,0.10301768990634755,-0.19250780437044746,0.39021852237252863,True,0.2989572202786803,False
diagnostic_evaluation,F4,evaluation fraction to 90% recovery,fitness vs random grouping,31,0.11215510204081632,0.0876969696969697,0.10961787827661337,0.08990009775171065,0.029493927195596722,0.01825154663639786,0.042778571428571416,0.019979797979797986,0.027565656565656557,-0.007362069676355387,0.042739600082457224,0.01971778052490273,0.008071404630802036,0.03179306747701574,0.314328495738309,110.0,0.005818215198814869,0.4172736732570239,0.1425598335067638,0.6670135275754423,True,0.029091075994074345,True
diagnostic_evaluation,F5,evaluation fraction to 90% recovery,fitness vs random grouping,31,0.11606530612244897,0.09542626262626264,0.12390296936291297,0.09899143109834355,0.0281032013697516,0.02353460523885303,0.03981039506911217,0.03143535353535354,0.02693585392051559,0.015092929292929283,0.0327757575757576,0.02491153826456945,0.011910928444051967,0.03729436326682883,0.28226877150171936,82.0,0.00070173479616642,0.481789802289282,0.22164412070759626,0.7107180020811654,True,0.00491214357316494,True
diagnostic_evaluation,F6,evaluation fraction to 90% recovery,fitness vs random grouping,31,0.09514583333333333,0.11854949494949495,0.0970149170446608,0.11617762749283488,0.03254116245998178,0.018783009168246045,0.04493051228577913,0.019013626056483227,-0.02907755102040817,-0.044465562844944295,-0.0007636363636363552,-0.019162710448174053,-0.03273012460144762,-0.004709818814687449,-0.24527773005524767,121.0,0.011704971082508564,-0.4172736732570239,-0.6815816857440167,-0.13007284079084286,False,0.046819884330034256,True
diagnostic_evaluation,F7,evaluation fraction to 90% recovery,fitness vs random grouping,31,0.1215,0.15853535353535353,0.11648756302274654,0.16313272569460516,0.032871660452747156,0.028785649654013413,0.02953743789347618,0.03959628899982359,-0.04921264188274496,-0.07192440191387563,-0.024532245532245506,-0.046645162671858566,-0.0630395733429967,-0.029739933942899564,-0.3104206146155942,42.0,1.0450370609760284e-05,-0.7252861602497399,-0.8938605619146722,-0.5254942767950052,False,8.360296487808228e-05,True
diagnostic_evaluation,F8,evaluation fraction to 90% recovery,fitness vs random grouping,31,0.1364040404040404,0.21490721649484537,0.1315063132990669,0.20090962774542426,0.029104156369455153,0.04824264449581942,0.04300355000054251,0.0861772522192257,-0.08028282828282829,-0.08998206555349413,-0.052708548903670854,-0.06940331444635732,-0.08871842384166913,-0.04966402337362831,-0.373569718096246,30.0,1.8952414393424988e-06,-0.7065556711758585,-0.8751300728407908,-0.5026014568158168,False,1.8952414393424988e-05,True
diagnostic_evaluation,F9,evaluation fraction to 90% recovery,fitness vs random grouping,31,0.13425454545454546,0.07915151515151515,0.1361717357545526,0.0805461062235256,0.042738462454268045,0.018445283472178903,0.059972800166614576,0.023788888888888887,0.050882828282828294,0.03539874252731395,0.08081730709153388,0.055625629531027024,0.036730442764164026,0.0740067525075582,0.6428534966819808,34.0,3.4635886549949646e-06,0.7606659729448492,0.554630593132154,0.9250780437044746,True,3.117229789495468e-05,True
diagnostic_evaluation,F10,evaluation fraction to 90% recovery,fitness vs random grouping,31,0.24318181818181817,0.07216363636363636,0.24104824287203974,0.07516029618103351,0.045213890183475845,0.01585423532945529,0.04564232457119055,0.019735353535353536,0.15857373737373737,0.14492727272727274,0.1889959595959596,0.1658879466910062,0.14814692110510094,0.1828082842189087,2.197418885249573,0.0,9.313225746154785e-10,0.991675338189386,0.9667013527575442,1.0,True,1.1175870895385742e-08,True
diagnostic_evaluation,F11,evaluation fraction to 90% recovery,fitness vs random grouping,31,0.10888541666666667,0.08186868686868687,0.10994141683946397,0.0880064256787759,0.02889667266223973,0.023916488336052876,0.03746317653461159,0.03898989898989898,0.025529861111111107,0.006921026592455165,0.03918051482567611,0.02193499116068806,0.008607629196237403,0.03496098520053474,0.31183914250462674,105.0,0.00413934513926506,0.4630593132154006,0.20494276795005206,0.704474505723205,True,0.024836070835590363,True
diagnostic_evaluation,F12,evaluation fraction to 90% recovery,fitness vs random grouping,31,0.13988484848484847,0.08257755102040816,0.1408269516154935,0.08488067043044004,0.032997597755799975,0.014026843824989633,0.04178742870923011,0.015780808080808076,0.06028484848484847,0.03787774653754035,0.07302157659064876,0.05594628118505347,0.044432899915086914,0.0675941781001241,0.7300391903115377,2.0,2.7939677238464355e-09,0.9146722164412071,0.8106139438085328,0.9833506763787722,True,3.073364496231079e-08,True
diagnostic_late-half,F1,late-half share of improvement,fitness vs random grouping,31,0.027471272849140416,0.014637802375304975,0.02928925673277865,0.017945104337114787,0.015501965762762644,0.009467149708319885,0.01579169705189453,0.010350643879420005,0.00962872481967502,0.0014153100606817525,0.01825809467449588,0.011344152395663866,0.005657238558347875,0.017206699456824952,0.6577985255436548,91.0,0.0014681089669466019,0.46097814776274715,0.19667013527575442,0.700312174817898,True,0.007340544834733009,True
diagnostic_late-half,F2,late-half share of improvement,fitness vs random grouping,31,0.025508121113263074,0.02303591623579608,0.029082628052705502,0.021598608239754374,0.012934808275416786,0.00843203359776355,0.01838711780030514,0.007418246488740586,0.00671951313652731,-5.508416267974159e-05,0.014273075648218543,0.007484019812951127,0.0015415540182561135,0.013438450592245294,0.2916972378153421,150.0,0.055239553563296795,0.29656607700312176,0.007284079084287201,0.5567117585848075,True,0.11047910712659359,False
diagnostic_late-half,F3,late-half share of improvement,fitness vs random grouping,31,0.027761812922244798,0.021202600166537543,0.031213752883898657,0.021945649764662255,0.015052613163889422,0.007887991380981885,0.02152782580387824,0.013204911303557613,0.008530734977461912,0.0004712781506331261,0.01463116299664505,0.009268103119236403,0.002817162593153823,0.015675487912574882,0.4023438121011839,130.0,0.019774673506617546,0.33610822060353795,0.055150884495317375,0.5983350676378772,True,0.06297174096107483,False
diagnostic_late-half,F4,late-half share of improvement,fitness vs random grouping,31,0.030906988526243597,0.01854116432786088,0.03255633259083845,0.02027941425177433,0.01309178745744578,0.008331206172630981,0.01464626310907436,0.01005821230473923,0.0111823663440043,0.00491282199025235,0.015149061463056692,0.012276918339064118,0.0076506093615775,0.017199281639869186,0.6031102549046026,41.0,9.162351489067078e-06,0.5858480749219563,0.32778355879292403,0.8106139438085328,True,8.24611634016037e-05,True
diagnostic_late-half,F5,late-half share of improvement,fitness vs random grouping,31,0.03408389435327556,0.019833840887991644,0.036031116871254765,0.022223672157125618,0.013221467320650993,0.01009741562894929,0.017159116199338978,0.014088982114216183,0.013543594551440661,0.010189579890394783,0.021729862310151653,0.013807444714129147,0.00825731621590694,0.019187652807879773,0.6828528386370489,52.0,3.570038825273514e-05,0.6087408949011447,0.3777315296566077,0.8002081165452654,True,0.0002856031060218811,True
diagnostic_late-half,F6,late-half share of improvement,fitness vs random grouping,31,0.028853035213888992,0.025749437813474774,0.031113126626236633,0.02677837927519599,0.017292728972119743,0.010103097936436838,0.019038807978687126,0.010994826691356797,-0.00327793807811606,-0.006369914070081001,0.012972788747428573,0.004334747351040645,-0.001886759024551371,0.01141903205499072,-0.12730134544532476,213.0,0.5042768456041813,0.06971904266389178,-0.2278876170655567,0.3610822060353798,False,0.5042768456041813,False
diagnostic_late-half,F7,late-half share of improvement,fitness vs random grouping,31,0.03439393269319743,0.0451766791591532,0.03748673473724341,0.047983795142855126,0.017515528231137525,0.013087732559124033,0.02037505998924545,0.013022832284148397,-0.010817485921611483,-0.01867501636135926,-0.0013935025495526929,-0.010497060405611706,-0.017961533247943102,-0.002955748281662873,-0.23944845267405546,126.0,0.015742935240268707,-0.42767950052029136,-0.6815816857440167,-0.1425598335067638,False,0.06297174096107483,False
diagnostic_late-half,F8,late-half share of improvement,fitness vs random grouping,31,0.03706714122669044,0.06183323817666478,0.041207616507270145,0.06174744699050854,0.01858297507417747,0.021164216117107604,0.02334664341912046,0.023240845733683527,-0.017908297319932535,-0.026670201759580098,-0.00940077785251528,-0.020539830483238385,-0.029919836459890867,-0.011358976398770565,-0.28962250478887164,61.0,9.619537740945816e-05,-0.6024973985431842,-0.8043704474505723,-0.3631633714880333,False,0.000577172264456749,True
diagnostic_late-half,F9,late-half share of improvement,fitness vs random grouping,31,0.03403198402368225,0.015923705773632595,0.0366981785900911,0.015616949770951,0.014685368745570528,0.00893635943597304,0.015161833673143794,0.010711367836868059,0.017946019562791824,0.013220766548201975,0.027501521085377956,0.02108122881914009,0.01468623990233726,0.027466666944144274,1.1270001981892868,26.0,9.955838322639465e-07,0.8085327783558793,0.6420395421436004,0.9354838709677419,True,9.955838322639465e-06,True
diagnostic_late-half,F10,late-half share of improvement,fitness vs random grouping,31,0.05698035106657808,0.013494631749404646,0.05657825299115776,0.013470573563401951,0.012634545835908723,0.006815703336479959,0.013445771567011815,0.0066981794849739675,0.04440073052118259,0.03711376854967513,0.049197750345901375,0.043107679427755785,0.03832480319982917,0.047849379190998256,3.2902513640760485,0.0,9.313225746154785e-10,1.0,1.0,1.0,True,1.1175870895385742e-08,True
