case,seed,grouping,mode,environment,change_frequency,post_change_error,end_of_environment_error,mean_error,error_reduction,error_reduction_fraction,error_at_0,error_at_5,error_at_10,error_at_25,error_at_50,error_at_75,late_half_reduction,late_half_fraction,recovery_evals_50,recovery_success_50,recovery_frac_50,recovery_evals_90,recovery_success_90,recovery_frac_90
F1,9,random,population_persistence,37,5000,84.55246495927048,41.877317079586874,43.75439130769922,42.67514787968361,0.5047179629859464,84.55246495927048,55.518390498337126,55.518390498337126,41.8841195764654,41.8841195764654,41.8841195764654,0.006802496878528075,0.000159401834943999,111,True,0.0222,555,True,0.111
F1,9,random,population_persistence,38,5000,56.068371519147334,46.23626712916369,46.4729337786686,9.832104389983641,0.17535919313486714,56.068371519147334,47.11248156429222,47.11248156429222,46.282059997425556,46.24032821834561,46.23626712916369,0.004061089181917055,0.0004130437412823087,24,True,0.0048,24,True,0.0048
F1,9,random,population_persistence,39,5000,87.80883965890098,40.91025768600967,40.98576492318057,46.89858197289131,0.5340986414929503,87.80883965890098,40.91954184387136,40.91025768600967,40.91025768600967,40.91025768600967,40.91025768600967,0.0,0.0,2,True,0.0004,5,True,0.001
F1,9,random,population_persistence,40,5000,37.97015592055527,34.952126794129185,35.19274018449706,3.018029126426086,0.0794842436976211,37.97015592055527,35.7738955974193,35.7738955974193,35.1621678257881,34.952126794129185,34.952126794129185,0.0,0.0,24,True,0.0048,1127,True,0.2254
F1,9,random,population_persistence,41,5000,103.38110338450795,65.13835957514604,65.3328390517412,38.24274380936191,0.3699200584764965,103.38110338450795,65.59606027131989,65.15200315015362,65.14375274352844,65.14375274352844,65.13835957514604,0.005393168382397562,0.00014102461918742614,21,True,0.0042,29,True,0.0058
F1,9,random,population_persistence,42,5000,115.43443530969128,89.27964771886458,89.29897725452298,26.1547875908267,0.22657699602945847,115.43443530969128,89.2796887589597,89.27964943644533,89.27964943644533,89.27964771886458,89.27964771886458,0.0,0.0,3,True,0.0006,6,True,0.0012
F1,9,random,population_persistence,43,5000,96.50527626375874,50.81769097845486,61.317360019989394,45.68758528530388,0.47342059475002235,96.50527626375874,95.55944292490031,94.89699999145402,65.86890701669398,50.81769097845486,50.81769097845486,0.0,0.0,1178,True,0.2356,1516,True,0.3032
F1,9,random,population_persistence,44,5000,59.47448025324721,57.15754559575999,57.16224834622595,2.3169346574872165,0.03895678697184942,59.47448025324721,57.15754559575999,57.15754559575999,57.15754559575999,57.15754559575999,57.15754559575999,0.0,0.0,6,True,0.0012,6,True,0.0012
F1,9,random,population_persistence,45,5000,102.11382267109087,101.84212851653214,101.84620431949985,0.27169415455873036,0.0026606990851166016,102.11382267109087,101.87421921462186,101.8422890711665,101.8422890711665,101.8422890711665,101.8422890711665,0.00016055463436259743,0.0005909388614685539,49,True,0.0098,254,True,0.0508
F1,9,random,population_persistence,46,5000,154.92730830207958,44.56702190982204,49.51457991444981,110.36028639225754,0.7123359180621366,154.92730830207958,71.67993825909883,48.7186270667657,48.7186270667657,45.68777425657805,44.90007964538367,1.1207523467560137,0.010155395417990157,98,True,0.0196,328,True,0.0656
