case,seed,grouping,mode,NP,dimension,peaks,change_frequency,shift_severity,environments,max_evals,realized_FE,budget_exact,environments_completed,changes_seen,reevaluation_FE,offline_error,best_error_before_change,mean_population_diversity,wall_seconds
F10,20,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,194.55188644502147,172.89125384883903,0.2491553628374448,164.3520045260084
F10,22,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,193.75293529245948,175.09722677524522,0.25225268656976596,167.4921580839873
F10,27,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,144.61341986044593,134.1464445768742,0.24392291236369032,161.22446153700002
F10,25,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,142.3151590196735,133.73004705675484,0.25217621985137467,179.33356836999883
F10,24,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,183.3985873390324,168.85451256232537,0.2538754360106708,184.52925753498857
F10,23,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,192.62331002870917,173.33714551599326,0.24475842326288264,187.46734171299613
F10,26,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,144.48188284256668,132.81460025875214,0.2532403607060529,181.03048733099422
F10,28,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,186.7746100569007,168.14227961742026,0.2549145102515352,192.61608011099452
F10,29,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,145.55058527484235,135.7408944873907,0.25867053589612,219.8003941319912
F12,4,fitness,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,1980,24.29552664106647,18.93317603572906,0.2839562061450618,165.84879728899978
F12,1,fitness,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,1980,26.631502600016194,21.482156480047607,0.2527056240454656,195.39974056700885
F12,3,fitness,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,1980,25.37434422261978,20.738893325502154,0.25332801834995067,178.06466138800897
F12,2,fitness,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,1980,27.874576633063743,21.375717073131693,0.2545672775331055,192.89004515598936
F12,5,fitness,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,1980,26.115425650258707,20.734376995758367,0.2574372308750189,179.75929251300113
F12,6,fitness,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,1980,26.389735999147515,21.5206386791193,0.2640346148005641,181.1167585869989
F12,9,fitness,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,1980,24.441686923035785,20.318466836037167,0.28226573243142533,149.75484419400163
F10,31,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,169.35811244230942,153.0727951621997,0.25599445983096747,243.6300204059953
F12,7,fitness,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,1980,23.817602828661368,18.404254027069932,0.24576988349306922,193.408692787998
F12,8,fitness,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,1980,25.601459448080295,20.808608234022103,0.2537558568130715,187.7485760080017
F10,30,fitness,previous_best_seeded,20,20,10,5000,1.0,100,500000,500000,True,100,99,1980,164.69084143666893,152.29500286920847,0.24975396740326353,260.16921786399325
F12,19,fitness,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,1980,25.33854245987013,20.075875558215714,0.24132251811531075,123.29686560999835
F12,11,fitness,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,1980,26.985543095478977,21.622326568131985,0.2479430204910565,135.6272251909977
F12,27,fitness,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,1980,27.37439018114557,22.241841538816164,0.26206492993902086,136.51209843000106
F12,20,fitness,previous_best_seeded,20,5,10,5000,5.0,100,500000,500000,True,100,99,1980,25.25884630514426,20.264766481596517,0.2623747907775461,138.60982533800416
