case,seed,grouping,mode,environment,target_fraction,actual_fe_in_env,actual_fraction,diversity
F2,20,fitness,previous_best_seeded,24,0.0,20,0.004,0.26565255252762704
F2,20,fitness,previous_best_seeded,24,0.05,252,0.0504,0.24544100419824935
F2,20,fitness,previous_best_seeded,24,0.1,508,0.1016,0.2431815355060296
F2,20,fitness,previous_best_seeded,24,0.25,1252,0.2504,0.22461383572422608
F2,20,fitness,previous_best_seeded,24,0.5,2506,0.5012,0.22490352475018888
F2,20,fitness,previous_best_seeded,24,0.75,3750,0.75,0.22823522008386526
F2,20,fitness,previous_best_seeded,24,1.0,5000,1.0,0.22814753518736508
F2,20,fitness,previous_best_seeded,25,0.0,20,0.004,0.28264275783790277
F2,20,fitness,previous_best_seeded,25,0.05,252,0.0504,0.2594398980335951
F2,20,fitness,previous_best_seeded,25,0.1,508,0.1016,0.2426029207293059
F2,20,fitness,previous_best_seeded,25,0.25,1258,0.2516,0.24464601740181433
F2,20,fitness,previous_best_seeded,25,0.5,2504,0.5008,0.23181267114669243
F2,20,fitness,previous_best_seeded,25,0.75,3754,0.7508,0.2325377206126342
F2,20,fitness,previous_best_seeded,25,1.0,5000,1.0,0.21527857017109744
F2,20,fitness,previous_best_seeded,26,0.0,20,0.004,0.2726962993825105
F2,20,fitness,previous_best_seeded,26,0.05,252,0.0504,0.27687183156189027
F2,20,fitness,previous_best_seeded,26,0.1,500,0.1,0.25630102497971846
F2,20,fitness,previous_best_seeded,26,0.25,1258,0.2516,0.21170987284297546
F2,20,fitness,previous_best_seeded,26,0.5,2508,0.5016,0.19912821400773237
F2,20,fitness,previous_best_seeded,26,0.75,3758,0.7516,0.1933724772947058
F2,20,fitness,previous_best_seeded,26,1.0,5000,1.0,0.16164252222121672
F2,20,fitness,previous_best_seeded,27,0.0,20,0.004,0.28304778062572533
F2,20,fitness,previous_best_seeded,27,0.05,258,0.0516,0.23127951314862905
F2,20,fitness,previous_best_seeded,27,0.1,502,0.1004,0.237349563354483
F2,20,fitness,previous_best_seeded,27,0.25,1252,0.2504,0.24661607928620846
F2,20,fitness,previous_best_seeded,27,0.5,2504,0.5008,0.2449802556801744
F2,20,fitness,previous_best_seeded,27,0.75,3752,0.7504,0.25492655195591957
F2,20,fitness,previous_best_seeded,27,1.0,5000,1.0,0.24794220773958295
F2,20,fitness,previous_best_seeded,28,0.0,20,0.004,0.26956821511182255
F2,20,fitness,previous_best_seeded,28,0.05,256,0.0512,0.2638338891747427
F2,20,fitness,previous_best_seeded,28,0.1,502,0.1004,0.28324966656775596
F2,20,fitness,previous_best_seeded,28,0.25,1256,0.2512,0.2698304302007539
F2,20,fitness,previous_best_seeded,28,0.5,2504,0.5008,0.25707819308301644
F2,20,fitness,previous_best_seeded,28,0.75,3750,0.75,0.27487854408382384
F2,20,fitness,previous_best_seeded,28,1.0,5000,1.0,0.2848106086985298
F2,20,fitness,previous_best_seeded,29,0.0,20,0.004,0.28989811937293686
F2,20,fitness,previous_best_seeded,29,0.05,252,0.0504,0.2653132564273246
F2,20,fitness,previous_best_seeded,29,0.1,502,0.1004,0.26275011629258915
F2,20,fitness,previous_best_seeded,29,0.25,1256,0.2512,0.25049997379905314
F2,20,fitness,previous_best_seeded,29,0.5,2508,0.5016,0.21993025597069335
F2,20,fitness,previous_best_seeded,29,0.75,3750,0.75,0.2142724286871253
F2,20,fitness,previous_best_seeded,29,1.0,5000,1.0,0.21441511994113452
F2,20,fitness,previous_best_seeded,30,0.0,20,0.004,0.2839334257235431
F2,20,fitness,previous_best_seeded,30,0.05,250,0.05,0.28020669603519405
F2,20,fitness,previous_best_seeded,30,0.1,504,0.1008,0.2557081968245451
F2,20,fitness,previous_best_seeded,30,0.25,1256,0.2512,0.2514947746053982
F2,20,fitness,previous_best_seeded,30,0.5,2502,0.5004,0.2383639407869125
F2,20,fitness,previous_best_seeded,30,0.75,3752,0.7504,0.24069101829097533
F2,20,fitness,previous_best_seeded,30,1.0,5000,1.0,0.23137976402833688
F2,20,fitness,previous_best_seeded,31,0.0,20,0.004,0.30529421219657116
F2,20,fitness,previous_best_seeded,31,0.05,254,0.0508,0.28322377241441055
